model,BLAN,KONZ,LENO,OSBS,SCBI,SERC,TALL,UKFS
Weather,-2.6623680060139034,-1.6192997894144423,-1.5245899544646375,6.321682802145847,-1.2593768929556062,-0.12060220482282928,0.13485583217267572,-3.2924530912803793
Weather&Mice,-3.082144580933456,-2.302009907166861,-2.443969266199776,6.438174734395304,-0.9405502615608188,-0.10774551377155095,0.15947838700212427,-2.6845837917834885
WeatherIntercept,-2.8539776257105465,-0.9089920397002178,-2.0254567866188484,-0.4182559863575321,-2.1362763088514853,-1.530715688526107,-1.0214397536853845,-0.6983888693458575
WeatherMiceIntercept,-1.5439516181539692,-0.6445191284109716,-1.1507293693381373,-0.18406856372728916,-1.037122664153365,-1.2106333240303975,-0.6029812005054971,-0.9694156352723502
