model,BLAN,GREN,HARV,HNRY,LENO,SCBI,SERC,TEA,TREE
Weather,-0.6723645564407869,-5.290611368673702,-0.9043171998616591,-3.2579389625608326,-2.6769511067060217,-1.0474915241956833,-0.384443930957319,-1.0900606629221328,0.33316593250440846
Weather&Mice,-1.0046116958964972,-4.559551416116072,-0.9497500416948226,-4.11771511979955,-3.8448353064486365,-1.319835435649885,-0.7070504064608353,-0.7330826917046277,-0.0661452196498003
WeatherFull,0.01756646685395254,-6.273314170573941,-1.7063645555456894,-2.197623101931347,-2.8168073767171657,-0.43053409689412586,-0.8892484762256836,-3.3245361293748523,-0.38375648509365123
WeatherIntercept,0.6143259127352786,-3.5459013557975676,-1.1708970181237304,-0.8622681540632698,-1.8506352561138506,-0.22028798991227913,-0.4765809733667231,-2.7153992186856977,-0.5212142295979655
WeatherMiceFull,0.2076221256257202,-5.346707295599995,-1.3587668792468766,-1.6132938233405356,-2.6760673419500804,-0.3528929408408112,-0.6928216163900914,-2.9195586123278243,-0.40400543899509445
WeatherMiceIntercept,0.9397317941386912,-0.5046484333488098,-0.777475979758295,-0.2104045217867228,-1.0352860538664765,-0.11977276424137408,-0.538141701763199,-2.0914928312962426,-0.5135804111686209
