"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-116.51467744,-116.205205,2.78584035873193,2.65707865500001,-121.6074715,-112.594044,0.999943153575221,2453.85582109178,3560.94431780845
"beta_0",128.196112301667,128.16048,1.1654744691085,1.16496036299999,126.2708185,130.1017295,1.00011990975754,6330.68343767258,4555.23052661624
"beta_lat",4.64704519808333,4.65034085,0.430483484332653,0.4219642686,3.93213304,5.361842405,1.00005688661136,6958.3009966003,4124.18700455981
"beta_green",-0.578357583816793,-0.57824933,0.234353741208971,0.234051353235,-0.95852175,-0.187712064,1.00042800658453,5821.18309250424,3771.57556120559
"theta[1]",411.784403738333,409.32056,75.2146109602367,80.51007258,296.136825,535.4007665,0.999989921626807,6687.43757927604,3695.52716603128
"theta[2]",408.93353906,409.596005,75.5551986304565,79.906572837,288.1966225,537.221678,1.00174218694422,5888.45422124187,4104.8732131561
"theta[3]",425.942849763333,423.555975,73.8485040814357,80.865918819,318.574233,549.7929325,1.00110732176678,5029.09166429481,3581.40384004364
"theta[4]",410.008989213333,407.49097,72.6599903657125,77.51751861,304.11646,532.531212,1.00136010535312,5465.16957560832,4015.50045489671
"theta[5]",399.415574926667,398.94456,68.1155008479506,68.940618306,293.430801,512.439107,1.00052891818978,5536.76720848768,2999.51014724299
"theta[6]",429.947079871667,425.364275,68.3968400478741,60.821982249,319.3955535,548.394679,1.00268283583608,5478.06385554846,3629.72356874728
"theta[7]",454.7761074,448.74571,62.9368158532974,57.775772985,356.0798475,557.5778365,1.00186845600821,5137.00942598975,3001.88906223939
"theta[8]",415.906932173333,414.836,74.4663201573533,76.144549467,294.721873,538.8330195,1.00136285733034,6787.03115712299,3620.03289873371
"theta[9]",414.173988833333,412.77274,83.7846659987379,91.569327129,279.7332035,549.744759,1.00075497117581,6453.92580081864,4750.67825080533
"theta[10]",421.287941331667,422.014025,70.2753487514653,67.121312433,298.6200555,534.767184,0.99996272233801,6154.60267884257,3831.86719219138
"sigma_tick",9.18379774533333,9.11598765,0.871095292294335,0.84710834355,7.8737494,10.7211216,0.999816224149307,5959.77823410506,4569.5485514733
"crossing[1]",130.800622352667,131.812425,9.15349873262528,9.662296938,114.463412,144.1750745,0.999950195060109,6687.43946458195,3695.52716603128
"crossing[2]",139.108487706667,139.36353,5.92186334346633,6.52583439900001,129.0376785,148.176203,0.999981555933366,6687.43611240962,3695.52716603128
"crossing[3]",133.825223204,135.367445,7.70182840684267,7.68831140700004,120.7990525,144.1613465,0.999881298158756,6687.43778720036,3695.52716603128
"crossing[4]",129.273760664167,130.16965,8.78042695031682,7.77534744000002,112.6293275,142.650651,0.99996956831049,6687.43658088064,3695.52716603128
"crossing[5]",132.172216093333,133.175885,9.08759329254298,9.24497469000001,114.922366,145.5795785,1.00166569354398,5888.45315560935,4104.8732131561
"crossing[6]",131.691065811667,134.192815,8.58348100717529,8.33035875000001,117.7994125,144.326511,1.00152684947983,5888.44997997291,4104.8732131561
"crossing[7]",139.69139692,140.23969,5.96491598943372,6.382689369,129.126326,148.9971275,1.00174786945729,5888.46286655018,4104.8732131561
"crossing[8]",137.558990711667,138.828035,7.60430228758374,7.13418224400001,124.5066665,148.9505315,1.00163783859661,5888.4602643573,4104.8732131561
"crossing[9]",135.177003968333,136.836745,7.52071531136249,6.50744274600001,121.377735,145.415799,1.00161265280896,5888.4565653917,4104.8732131561
"crossing[10]",135.624845193333,135.572995,6.09962342885174,5.92227535199999,124.681391,145.305339,1.00164027900483,5888.4664262903,4104.8732131561
"crossing[11]",140.691965816667,140.962965,5.6129896608596,6.325542552,131.9170825,149.410556,1.00124298650251,5029.06941021028,3581.40384004364
"crossing[12]",138.646868383333,139.318185,7.17031918880483,6.917174082,126.980916,149.424517,1.00143481461696,5029.07198215821,3581.40384004364
"crossing[13]",136.163530753333,137.3356,6.99085208656859,6.30918206100001,123.6359845,145.6161325,1.00125798509616,5029.11506411289,3581.40384004364
"crossing[14]",132.141953135,132.0385,8.11901093561432,8.03772316199999,119.221334,145.2842045,1.00123456941564,5029.09420746898,3581.40384004364
"crossing[15]",111.361915874833,111.661375,7.78137535255959,6.74865435300001,97.5135068,123.343321,1.00132960850526,5465.17185504724,4015.50045489671
"crossing[16]",100.9670213585,101.44398,6.92967214433015,6.788039622,89.59309685,111.163889,1.00144064015298,5465.17351791663,4015.50045489671
"crossing[17]",116.909992778667,117.68827,7.37501599064772,7.34239117499999,103.7957085,127.399783,1.00140563673718,5465.17124748409,4015.50045489671
"crossing[18]",113.069796179833,114.770905,7.88263698451201,8.37187155,100.5863655,123.9663935,1.00179801661891,5465.17036582401,4015.50045489671
"crossing[19]",112.000413930333,112.753,8.2814508934404,10.194290883,101.0070405,124.816673,1.00151398912319,5465.16887491133,4015.50045489671
"crossing[20]",99.2321898535,100.30389,7.27084026057979,7.5105706473,87.4101592,110.108184,1.0016536859699,5465.1713032175,4015.50045489671
"crossing[21]",104.333831574333,104.469555,7.16184144511132,5.94847289399999,92.25695455,116.88934,1.00138944392572,5465.17471488264,4015.50045489671
"crossing[22]",111.976698543667,112.32732,7.56743939185022,6.066183921,97.78259005,123.330232,1.00055253553049,5536.76658402333,2999.51014724299
"crossing[23]",101.985014636,102.405165,6.72525976354686,5.58185111819999,90.66226575,111.794613,1.00043980461345,5536.76271307449,2999.51014724299
"crossing[24]",118.577863722667,120.263935,7.02864783955368,6.01124617800001,104.2863705,128.3209595,1.0002634980241,5536.76885213842,2999.51014724299
"crossing[25]",112.747599840667,112.93516,5.92282895990371,6.02480455499999,103.166074,122.3054385,1.00054143126439,5536.77013761573,2999.51014724299
"crossing[26]",115.590508851833,117.22071,7.46736039686862,6.96362394,101.9807515,125.464514,1.00023819070123,5536.75924438279,2999.51014724299
