uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"3687da87-c894-4325-9fe1-a42736fc3b2e","ABBY_003.tickPlot.tck","ABBY","D16","ABBY_003","2025-08-05T15:45Z","2025-11-04T17:00Z","ABBY_003.20250805","ABBY_003.20250805.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"8a71ff20-c81f-4031-bda3-cfd8cdefc4d3","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-08-05T19:10Z","2025-11-04T17:00Z","ABBY_002.20250805","ABBY_002.20250805.IXOPAC.N","Ixodes pacificus","IXOPAC","species","Ixodidae",,,,"Ixodes",,"pacificus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Cooley & Kohls","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"395f7f8c-3d39-4a31-aa94-f322c5388a33","ABBY_003.tickPlot.tck","ABBY","D16","ABBY_003","2025-08-28T15:52Z","2025-11-04T17:00Z","ABBY_003.20250828","ABBY_003.20250828.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"e8821a42-039d-4654-85bb-96f43dcdf916","ABBY_001.tickPlot.tck","ABBY","D16","ABBY_001","2025-08-28T16:04Z","2025-11-04T17:00Z","ABBY_001.20250828","ABBY_001.20250828.IXOANG.M","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Male",3,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"de81437a-2907-4b9f-81b7-c5f351089f89","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-08-28T18:33Z","2025-11-04T17:00Z","ABBY_002.20250828","ABBY_002.20250828.IXOANG.M","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Male",4,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"5a27672d-8c83-43d4-a769-97f8f73c6752","ABBY_002.tickPlot.tck","ABBY","D16","ABBY_002","2025-08-28T18:33Z","2025-11-04T17:00Z","ABBY_002.20250828","ABBY_002.20250828.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"d506b989-dc3d-4c46-bbdb-7bed27977fba","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-08-28T19:30Z","2025-11-04T17:00Z","ABBY_077.20250828","ABBY_077.20250828.IXOANG.M","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"52daee5e-a9b3-4ff4-8f45-49e44f6c966c","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-08-28T19:30Z","2025-11-04T17:00Z","ABBY_077.20250828","ABBY_077.20250828.IXOANG.N","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Nymph",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
"26ca0517-060e-4437-ad73-20ceb3e40ca6","ABBY_077.tickPlot.tck","ABBY","D16","ABBY_077","2025-08-28T19:30Z","2025-11-04T17:00Z","ABBY_077.20250828","ABBY_077.20250828.IXOANG.F","Ixodes angustus","IXOANG","species","Ixodidae",,,,"Ixodes",,"angustus",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Neumann","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",
