Latitude & Longitude in Decimal Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification Information,LATITUDE,LONGITUDE,IES Project #(s),Comments (colored rows = coords in Fld Res Database),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROXIMITY,,,,,SYMBOL,;waypts
LTRBCF,N41.795130,W073.735112,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBCU,N41.795190,W073.734827,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBDF,N41.797652,W073.732424,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBDU,N41.797936,W073.732445,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBEF,N41.798853,W073.732553,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBEU,N41.799084,W073.732563,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBFF,N41.799095,W073.733331,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
LTRBFU,N41.799288,W073.733336,2050,Nutrient cycling LTREB site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
RCA1,N41.803156,W073.721642,1370,Henry Farm (Red) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
RCA11,N41.804577,W073.721813,1370,Henry Farm (Red) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
RCK1,N41.803354,W073.720048,1370,Henry Farm (Red) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
RCK11,N41.804711,W073.720461,1370,Henry Farm (Red) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
REA1,N41.802217,W073.725450,1370,Henry Farm (Red) experimental grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
REA10,N41.803494,W073.726411,1370,Henry Farm (Red) experimental grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
REL1,N41.802678,W073.723465,1370,Henry Farm (Red) experimental grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
REL10,N41.803848,W073.724254,1370,Henry Farm (Red) experimental grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
YCA1,N41.793532,W073.732226,1370,Tea Hse (Yellow) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
YCA11,N41.794803,W073.731523,1370,Tea Hse (Yellow) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
YCK1,N41.793065,W073.730772,1370,Tea Hse (Yellow) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
YCK11,N41.794025,W073.730064,1370,Tea Hse (Yellow) control grid. Corner of trapping grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
YE A1,N41.796190,W073.729260,1370,"Tea Hse (Yellow) experimental grid. Corner of trapping grid, Joe's Gulley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YE A11,N41.796200,W073.727550,1370,"Tea Hse (Yellow) experimental grid. Corner of trapping grid, Joe's Gulley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YE K11,N41.795120,W073.727160,1370,"Tea Hse (Yellow) experimental grid. Corner of trapping grid, Joe's Gulley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
