"scene","sensor","tile","year_doy","evi2","year","doy","date"
"HLS_S30_T15TYL_2016020","S30","T15TYL","2016020",NA,2016,20,2016-01-20
"HLS_L30_T15TYL_2016023","L30","T15TYL","2016023",0,2016,23,2016-01-23
"HLS_S30_T15TYL_2016050","S30","T15TYL","2016050",NA,2016,50,2016-02-19
"HLS_L30_T15TYL_2016062","L30","T15TYL","2016062",NA,2016,62,2016-03-02
"HLS_L30_T15TYL_2016071","L30","T15TYL","2016071",0.218742127802502,2016,71,2016-03-11
"HLS_S30_T15TYL_2016080","S30","T15TYL","2016080",0.243466023321271,2016,80,2016-03-20
"HLS_S30_T15TYL_2016093","S30","T15TYL","2016093",NA,2016,93,2016-04-02
"HLS_L30_T15TYL_2016094","L30","T15TYL","2016094",NA,2016,94,2016-04-03
"HLS_L30_T15TYL_2016103","L30","T15TYL","2016103",0,2016,103,2016-04-12
"HLS_L30_T15TYL_2016126","L30","T15TYL","2016126",0.272744501226177,2016,126,2016-05-05
"HLS_L30_T15TYL_2016135","L30","T15TYL","2016135",NA,2016,135,2016-05-14
"HLS_L30_T15TYL_2016142","L30","T15TYL","2016142",0.334672052235805,2016,142,2016-05-21
"HLS_L30_T15TYL_2016151","L30","T15TYL","2016151",0.49553901209441,2016,151,2016-05-30
"HLS_S30_T15TYL_2016153","S30","T15TYL","2016153",NA,2016,153,2016-06-01
"HLS_L30_T15TYL_2016158","L30","T15TYL","2016158",NA,2016,158,2016-06-06
"HLS_S30_T15TYL_2016160","S30","T15TYL","2016160",0.536099653071817,2016,160,2016-06-08
"HLS_S30_T15TYL_2016173","S30","T15TYL","2016173",0.666179143285146,2016,173,2016-06-21
"HLS_L30_T15TYL_2016174","L30","T15TYL","2016174",0.568291973633191,2016,174,2016-06-22
"HLS_S30_T15TYL_2016180","S30","T15TYL","2016180",0.668949554053541,2016,180,2016-06-28
"HLS_L30_T15TYL_2016183","L30","T15TYL","2016183",0.602982071239921,2016,183,2016-07-01
"HLS_S30_T15TYL_2016200","S30","T15TYL","2016200",0.63863419927414,2016,200,2016-07-18
"HLS_L30_T15TYL_2016206","L30","T15TYL","2016206",NA,2016,206,2016-07-24
"HLS_S30_T15TYL_2016213","S30","T15TYL","2016213",0.561291182994916,2016,213,2016-07-31
"HLS_S30_T15TYL_2016220","S30","T15TYL","2016220",0.616134668095204,2016,220,2016-08-07
"HLS_L30_T15TYL_2016222","L30","T15TYL","2016222",NA,2016,222,2016-08-09
"HLS_L30_T15TYL_2016231","L30","T15TYL","2016231",NA,2016,231,2016-08-18
"HLS_L30_T15TYL_2016238","L30","T15TYL","2016238",0.488143743071991,2016,238,2016-08-25
"HLS_S30_T15TYL_2016240","S30","T15TYL","2016240",NA,2016,240,2016-08-27
"HLS_L30_T15TYL_2016247","L30","T15TYL","2016247",0.485235070266383,2016,247,2016-09-03
"HLS_S30_T15TYL_2016253","S30","T15TYL","2016253",NA,2016,253,2016-09-09
"HLS_L30_T15TYL_2016254","L30","T15TYL","2016254",NA,2016,254,2016-09-10
"HLS_S30_T15TYL_2016273","S30","T15TYL","2016273",0.35839347349387,2016,273,2016-09-29
"HLS_S30_T15TYL_2016280","S30","T15TYL","2016280",NA,2016,280,2016-10-06
"HLS_S30_T15TYL_2016293","S30","T15TYL","2016293",NA,2016,293,2016-10-19
"HLS_L30_T15TYL_2016311","L30","T15TYL","2016311",0.233082662441581,2016,311,2016-11-06
"HLS_S30_T15TYL_2016313","S30","T15TYL","2016313",NA,2016,313,2016-11-08
"HLS_L30_T15TYL_2016318","L30","T15TYL","2016318",0.224207826590552,2016,318,2016-11-13
"HLS_S30_T15TYL_2016323","S30","T15TYL","2016323",0.288888541406055,2016,323,2016-11-18
"HLS_S30_T15TYL_2016340","S30","T15TYL","2016340",0,2016,340,2016-12-05
"HLS_L30_T15TYL_2016343","L30","T15TYL","2016343",NA,2016,343,2016-12-08
"HLS_L30_T15TYL_2016350","L30","T15TYL","2016350",0,2016,350,2016-12-15
"HLS_S30_T15TYL_2016350","S30","T15TYL","2016350",0,2016,350,2016-12-15
"HLS_S30_T15TYL_2016353","S30","T15TYL","2016353",0,2016,353,2016-12-18
"HLS_S30_T15TYL_2016363","S30","T15TYL","2016363",0,2016,363,2016-12-28
"HLS_S30_T15TYL_2017004","S30","T15TYL","2017004",0,2017,4,2017-01-04
"HLS_S30_T15TYL_2017007","S30","T15TYL","2017007",0,2017,7,2017-01-07
"HLS_S30_T15TYL_2017027","S30","T15TYL","2017027",0,2017,27,2017-01-27
"HLS_S30_T15TYL_2017044","S30","T15TYL","2017044",0,2017,44,2017-02-13
"HLS_L30_T15TYL_2017048","L30","T15TYL","2017048",0,2017,48,2017-02-17
"HLS_S30_T15TYL_2017054","S30","T15TYL","2017054",NA,2017,54,2017-02-23
"HLS_S30_T15TYL_2017067","S30","T15TYL","2017067",0,2017,67,2017-03-08
"HLS_L30_T15TYL_2017073","L30","T15TYL","2017073",0,2017,73,2017-03-14
"HLS_S30_T15TYL_2017074","S30","T15TYL","2017074",0,2017,74,2017-03-15
"HLS_L30_T15TYL_2017080","L30","T15TYL","2017080",NA,2017,80,2017-03-21
"HLS_S30_T15TYL_2017087","S30","T15TYL","2017087",0.214526430970801,2017,87,2017-03-28
"HLS_L30_T15TYL_2017096","L30","T15TYL","2017096",0.228633641807294,2017,96,2017-04-06
"HLS_S30_T15TYL_2017107","S30","T15TYL","2017107",0.272129235146601,2017,107,2017-04-17
"HLS_L30_T15TYL_2017112","L30","T15TYL","2017112",0.241850037621117,2017,112,2017-04-22
"HLS_S30_T15TYL_2017114","S30","T15TYL","2017114",NA,2017,114,2017-04-24
