"siteID","latitude_top_left","longitude_top_left","latitude_bottom_right","longitude_bottom_right"
"GREN",41.7948402566919,-73.7696442346788,41.7922872188226,-73.762964017254
"HNRY",41.8045521629054,-73.7257034847333,41.8024565672476,-73.7201825173936
"TEA",41.7962127382044,-73.7319547347274,41.7932534823544,-73.7273715170581
"OSBS",29.7047652436067,-82.0264314837556,29.6776095715007,-81.9462015162443
"UNDE",46.2579879984941,-89.5688474837557,46.213375552576,-89.4962455162442
"BLAN",39.1022784034289,-77.9829574837557,39.0820914225349,-77.9546835162443
"SCBI",38.9024941776298,-78.1673504837557,38.8651104968041,-78.1285595162442
"SERC",38.8968862273214,-76.5624494837556,38.8675545184449,-76.5344925162443
"ORNL",35.9837352146848,-84.3348344837557,35.9251873056687,-84.2108465162443
"MLBS",37.429710019353,-80.5634264837557,37.3624204094976,-80.5094785162442
"KONZ",39.1196042492055,-96.5986434837558,39.0734853459834,-96.5451095162442
"DELA",32.5396385701802,-87.8201804837557,32.5183702736145,-87.7991135162442
"UKFS",39.0543968293412,-95.2142414837557,39.0366100181357,-95.1862755162442
"TALL",32.9770442305013,-87.4453624837557,32.893730135528,-87.4150355162442
"TREE",45.4969667071338,-89.5766264837556,45.4817401453504,-89.5504305162442
"STEI",45.8334443110891,-90.0969794837556,45.7956023117044,-90.0702525162442
"KONA",39.2149003999162,-96.6443804837558,39.1136077029947,-96.5893005162442
"OAES",35.4219868405054,-99.0850424837557,35.3933599308396,-99.0564015162442
"HARV",42.4778272909203,-72.2609044837557,42.4013309863574,-72.1984785162443
"CLBJ",33.4110808774725,-97.6480454837557,33.3194144163879,-97.5777285162442
"LENO",31.8230709553872,-88.1960254837557,31.805594919724,-88.1806045162442
