node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
beta[10],-2.128793487789256,-1.4766205835844466,-0.5764193205008039,-0.597984292021294,0.28421188269884984,0.8293593579471954,0.5789147897486357,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[11],-1.401952930280694,-0.5036600761609634,0.8000858331919565,0.8212532334536407,2.17572729941362,3.1202995180313957,1.33028684691805,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[12],-1.4842792079044054,-1.0058575392615905,-0.18295803530952848,-0.09188112313090446,0.8969639936793087,1.7272323236401008,0.69564993883364,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[13],-0.8736814940286781,-0.5116149763152857,-0.09290247993885928,-0.1151066811380076,0.2641587697454605,0.5277025903502527,0.1205469211096461,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[14],-1.0041416232295293,-0.445649156449635,0.4049294203091796,0.41773910851259394,1.3074472994552884,1.923309559942052,0.574836956002487,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[1],-1.1563076306447426,-0.918634596581248,-0.5629886029186131,-0.554174393431016,-0.1880038347902155,0.099529461707329,0.09995511531791396,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[2],-1.9674803911016172,-1.6400191273913314,-1.1121711315893887,-1.13645492587091,-0.6600068406999099,-0.382173297364098,0.16712891386969436,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[3],1.302018223207178,1.788298118826923,2.4703483816602607,2.4268566433946637,3.035109667465961,3.326177807871947,0.2832949401385419,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[4],1.112532025299236,1.3967315872741148,1.991059141153698,1.9889227183271856,2.5652362435517095,2.9409653715521076,0.23509053211477013,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[5],-1.171121633018786,-0.9157197717281444,-0.42183708309322854,-0.4546189882123449,-0.05297215237619281,0.23398396297796023,0.13454934343422864,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[6],0.24873317836242345,0.43109677827062887,0.781178254682162,0.7867442236660166,1.1507219152976282,1.4437841646373482,0.09268337362873974,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[7],0.26716508901058683,0.6694135703631932,1.1735764157688835,1.1629117795656383,1.673398249238686,1.9102829829654309,0.1823386430519355,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[8],0.931794518225,1.31759520543558,1.9449124522105483,1.889800748375638,2.3814865735859208,2.6752539017795547,0.21726061876059077,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[9],-1.6923531008329702,-0.8758270992963779,0.2955455111287282,0.27927844946894337,1.4462167521024991,2.153991447473548,0.9871838369420696,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
phi.a.mu,4.525622506854606,5.060733449502489,5.937279991691483,5.956705172936693,6.850594782722379,7.60494446898572,0.6204740122324097,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
phi.l.mu,3.508874277270568,3.5537056899950885,3.6165356531710313,3.615779282240603,3.676970772965692,3.7213296679035017,0.00289959333831171,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
phi.n.mu,3.698100794970303,3.733658506302279,3.783337563513239,3.7846311640405705,3.838653076007141,3.8779696226742497,0.00206862434408213,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
sig[1],22.271675876567656,28.18295501507188,41.4924489431102,45.16365288750157,65.24664674887232,85.69785017539982,276.1674749832375,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
sig[2],22.66164822014314,26.15855313385523,33.0552307006761,33.900619556600645,42.217090058720984,51.23981239556868,52.50437501615149,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
sig[3],0.2691743003456667,0.4473554351795878,0.815346188373414,0.9094720429518068,1.4261979641769726,2.0764310168342788,0.24048884004054433,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
sig[4],1.234156324852648,1.4390395855085434,1.8086267744274624,1.858953925258463,2.3200742753219914,2.7776736831834947,0.15472796479361084,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
tau.cgdd,0.02779561469755888,0.1452268588706052,0.7076728189391993,1.0209524528828922,2.135302488329124,3.798995259194136,1.0422782842163856,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
tau.maxrh,2.4475164995742773,2.967698558090829,3.9876703936228863,4.177484975660184,5.489359084818739,6.997710778036446,1.3296210840939928,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
tau.minrh,7.07330077230362,8.359085185914644,10.829482968366564,11.106970742613486,13.98533267766354,16.657405356314825,6.211458508877139,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
tau.precip,1.44340950998611,1.6855355781042345,2.123545467653563,2.216635966512642,2.80854432751966,3.5194398344609508,0.2809319385454529,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
tau.temp,4.184682831868846,5.1679675084768935,7.071401106287686,7.298341558174148,9.516120098036197,11.769324936171786,4.004553913242804,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
theta.ln,-9.548680205159426,-8.971205844069171,-8.093122309467848,-7.925280521653996,-6.8119559760903305,-5.192059652272072,1.1045866893394702,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
theta.na,-7.458625211606316,-6.963711095951601,-6.259259856305373,-6.259301037102215,-5.559142265507582,-5.0785306303254085,0.36699644196434744,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-10,Mice,Weather
beta[10],-1.961123127922154,-1.3864363427456683,-0.5490831049334202,-0.5547547678514512,0.25776858624316784,0.8215268145735223,0.5125862456444189,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[11],-0.9781709987063906,-0.19561490469157664,1.0702665207862765,1.0690932283136938,2.3325912165546763,3.1809455094943475,1.1535682433574688,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[12],-1.5135620925922444,-0.9665016509734476,-0.09039081025291304,-0.06377907123830427,0.8585600329736568,1.467975349064459,0.6174911829587042,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[13],-1.1362078948353167,-0.8782636062141487,-0.516620423976435,-0.5108076961070634,-0.14322622477627164,0.1517176157172619,0.10476188077136288,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[14],-0.9458654703166016,-0.42022312605313006,0.4118458803820715,0.4187276746489568,1.2568380280151632,1.8829580047179069,0.5181846331325618,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[1],-1.2065086728460828,-1.0313565079095506,-0.7520514377014308,-0.7615089156868701,-0.5092769872014586,-0.33475637493816135,0.05128173215502008,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[2],-1.7172328121610057,-1.469014366116479,-1.072768596737962,-1.0743498871099586,-0.6765681970948976,-0.38337827348985887,0.11601290891332036,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[3],1.4134143517730156,1.7853163833014318,2.2391450480413777,2.2455170237612183,2.715404256724854,3.041970859299482,0.16552558778381496,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[4],0.70082249075552006,1.067699807967983,1.4781960020507612,1.4853060008214607,1.9305310220562564,2.213697276809702,0.14744715206289763,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[5],-1.273296425642818,-1.006252059806131,-0.6136025647964893,-0.6143832315662822,-0.2297897771064439,0.03129955155287931,0.11341701214969624,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[6],0.2835564808196527,0.4888864236416382,0.7651324831103199,0.7749274058431405,1.0646992446937211,1.288586268125495,0.06272226428578909,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[7],0.8330394580559894,1.1715373295554958,1.60364588206795,1.6219945691329574,2.1310787613446283,2.3810969505492414,0.1687955941722422,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[8],1.707868118323946,1.8972806992126925,2.2490202416662823,2.285170931314599,2.7157944045788085,2.923734484314463,0.11094410870478556,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
beta[9],-1.3274180076110882,-0.6395421439132642,0.3934271707374559,0.38867792468534934,1.4356844635125046,2.0374373865732505,0.7674860011298156,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
phi.a.mu,4.559729330082968,5.1370035628683555,5.953522783279894,5.9729961874342266,6.83066468374934,7.439449993508638,0.5364162486770991,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
phi.l.mu,3.5264081452795195,3.569056801089894,3.6318990747393216,3.631334679232238,3.692037658761528,3.7395100913014936,0.00291882377980921,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
phi.n.mu,3.692272550896883,3.7273018133926175,3.778480027635826,3.7795288881783655,3.832093587485221,3.868887218070114,0.00204769698753425,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
sig[1],25.39510979907428,31.386254584419486,42.91705733410636,45.85249556251126,61.53732156666167,83.72403023962721,241.03863119052468,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
sig[2],14.930464120802688,16.772159475944626,19.984698306331502,20.250592643959344,23.96749363217961,27.167799365704106,9.761574586445189,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
sig[3],0.35813612644066306,0.4888187011863455,0.7471090225884114,0.8171745631355444,1.1531317753528842,1.7779597044075957,0.1374119550515994,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
sig[4],0.9053326886591784,1.0174435166761384,1.2120828077780397,1.2339583066190694,1.4605517753419828,1.6814270820376251,0.03897198574312762,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
tau.cgdd,0.02570517276422625,0.13753451166605812,0.695902961729926,1.003060430227877,2.0955286866911806,3.6546932249701394,1.0077399251913273,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
tau.maxrh,2.6960912690667462,3.3669276972256825,4.658841513367694,4.85821706906353,6.490482333525308,8.113561894750184,1.970629511163519,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
tau.minrh,6.652312011719702,7.814543749424515,10.170721441261518,10.442908554536034,13.234944174801427,15.659897408933912,5.633988524933084,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
tau.precip,1.518591528637541,1.8017204072686792,2.337865082588259,2.3966048363239394,3.0229242124644373,3.662088583936679,0.3054555136882732,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
tau.temp,4.008375378827212,5.008365385061922,6.757199248230247,7.003747910503628,9.164959731481783,11.326424560183858,3.4638049324117444,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
theta.ln,-5.221854808924477,-4.885318650396105,-4.4265772616689265,-4.419595662282113,-3.9477733315760535,-3.603216117015968,0.16986388725223744,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
theta.na,-7.446248313715543,-6.965703115821984,-6.271949983718878,-6.269052993764355,-5.5859252566060125,-5.118937433388378,0.3555704467558026,OSBS,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-30,Mice,Weather
