"plotID","siteID","date","evi2_mean","evi2_median","evi2_sd","n_pixels"
"OSBS_077","OSBS",2016-01-01,0.370038001242223,0.380488820694503,0.0494283797768427,9
"OSBS_077","OSBS",2016-01-02,0.369188075108914,0.379460287020394,0.0495849420187771,9
"OSBS_077","OSBS",2016-01-03,0.36834498093613,0.378416066515596,0.0497448974892891,9
"OSBS_077","OSBS",2016-01-04,0.367509966778531,0.377357437140076,0.0499079472091955,9
"OSBS_077","OSBS",2016-01-05,0.366684280690779,0.376285676853797,0.0500737343667985,9
"OSBS_077","OSBS",2016-01-06,0.365869170727536,0.375202063616727,0.0502418471378567,9
"OSBS_077","OSBS",2016-01-07,0.365065884943465,0.374107875388829,0.0504118219920696,9
"OSBS_077","OSBS",2016-01-08,0.364275671393226,0.37300439013007,0.050583147456384,9
"OSBS_077","OSBS",2016-01-09,0.363499778131483,0.371892885800416,0.0507552683055057,9
"OSBS_077","OSBS",2016-01-10,0.362739453212898,0.37077464035983,0.0509275901509108,9
"OSBS_077","OSBS",2016-01-11,0.361995944692131,0.369650931768279,0.0510994844013792,9
"OSBS_077","OSBS",2016-01-12,0.361270500623846,0.368523037985729,0.0512702935705804,9
"OSBS_077","OSBS",2016-01-13,0.360564369062703,0.367392236972143,0.0514393369104768,9
"OSBS_077","OSBS",2016-01-14,0.359878798063366,0.366259806687489,0.0516059163531902,9
"OSBS_077","OSBS",2016-01-15,0.359215035680495,0.365127025091731,0.0517693227484267,9
"OSBS_077","OSBS",2016-01-16,0.358574329968754,0.363995170144835,0.0519288423884776,9
"OSBS_077","OSBS",2016-01-17,0.357957928982804,0.362865519806766,0.0520837638181348,9
"OSBS_077","OSBS",2016-01-18,0.357367080777306,0.361739352037489,0.0522333849324479,9
"OSBS_077","OSBS",2016-01-19,0.356803033406924,0.360617944796971,0.0523770203710507,9
"OSBS_077","OSBS",2016-01-20,0.356267034926318,0.359502576045175,0.0525140092236806,9
"OSBS_077","OSBS",2016-01-21,0.355760333390151,0.358394523742069,0.0526437230673964,9
"OSBS_077","OSBS",2016-01-22,0.355284176853085,0.357295065847616,0.0527655743618013,9
"OSBS_077","OSBS",2016-01-23,0.354839813369781,0.356205480321783,0.0528790252341333,9
