node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
beta[10],-2.2263094347462538,-1.6997427997231314,-0.7538810301546384,-0.7476736118434829,0.1885781148805908,0.8034314305194655,0.6347499688646404,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[11],-1.6762783587090049,-1.0546127209566154,-0.02794239598520015,0.00210925151228544,1.080812637119675,1.902774264027256,0.8435819022850585,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[12],-1.5296655534004056,-1.0022704265233715,-0.15862356270842118,-0.0685545265969989,0.9471450821171556,1.8267861944658843,0.732703937613975,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[13],-0.8014655892430141,-0.5183826140671344,-0.12664243747221998,-0.13363230697502318,0.244866532978958,0.503885373383467,0.1111581577840124,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[14],-1.0937864235825607,-0.45130500013108216,0.4243219907689153,0.43065020769939755,1.3423742172373956,1.974671097085968,0.6057699848511662,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[1],-1.5400006956353591,-1.2702179602243395,-0.9143056240426972,-0.8980556069263701,-0.5214272703935902,-0.08937872186955764,0.11709518169791448,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[2],-2.251569266181604,-2.00647546264479,-1.5252341297417429,-1.5409168991291895,-1.144972920552502,-0.8305826834462676,0.1414483011184267,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[3],-0.3915134707802186,0.06819341718744819,0.621789652764843,0.6251785210838758,1.2104336932814583,1.5729678421976745,0.24864170092410096,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[4],-0.385761314144808,0.282343365323415,1.3279649405839562,1.2818193400213485,2.22453073951735,2.7761328963601493,0.7123253648357872,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
beta[5],-1.7500778995754112,-1.347960843006324,-0.6658395950649139,-0.7336954171854853,-0.23677940503907127,0.03172272418979575,0.22677860594370192,BLAN,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-03-16,Mice,Weather
