"site","latitude_top_left","longitude_top_left","latitude_bottom_right","longitude_bottom_right"
"smamABBY_002",45.7406441241172,-122.310143241878,45.7400798744572,-122.309334758122
"smamABBY_003",45.7615530184467,-122.369793241878,45.7609889801278,-122.368984758122
"smamABBY_004",45.7688219817015,-122.300760241878,45.7682580168729,-122.299951758122
"smamABBY_007",45.7690539805287,-122.363395241878,45.7684900180458,-122.362586758122
"smamABBY_010",45.7774949378532,-122.374079241878,45.7769310607213,-122.373270758122
"smamABBY_011",45.743814108099,-122.356603241878,45.7432498904754,-122.355794758122
"smamABBY_014",45.7499800769393,-122.317710241878,45.7494159216352,-122.316901758122
"smamABBY_023",45.7466560937374,-122.381806241878,45.746091904837,-122.380997758122
"smamBARR_030",71.247829954225,-156.426390241878,71.2475700449068,-156.425581758122
"smamBARR_036",71.2544479100105,-156.503277241878,71.2541880891216,-156.502468758122
"smamBARR_037",71.2501919384448,-156.481254241878,71.2499320606871,-156.480445758122
"smamBARR_044",71.2500319395137,-156.435102241878,71.2497720596181,-156.434293758122
"smamBARR_083",71.2428609874215,-156.329204241878,71.2426010117101,-156.328395758122
"smamBARR_084",71.2480339528621,-156.440537241878,71.2477740462697,-156.439728758122
"smamBART_001",44.0471675567148,-71.3055192418778,44.0465864418599,-71.3047107581221
"smamBART_007",44.0514025359405,-71.2987812418778,44.0508214626343,-71.2979727581221
"smamBART_012",44.0477685537668,-71.3158552418778,44.047187444808,-71.3150467581221
"smamBART_015",44.043188576232,-71.2754632418778,44.0426074223428,-71.2746547581221
"smamBART_062",44.0576405053377,-71.3090502418778,44.057059493237,-71.3082417581221
"smamBART_084",44.0487915487486,-71.2983692418779,44.0482104498261,-71.2975607581222
"smamBLAN_001",39.0897937565639,-77.9585042418778,39.0891662420403,-77.9576957581221
"smamBLAN_002",39.0934407403391,-77.9811902418779,39.0928132582651,-77.9803817581221
"smamBLAN_003",39.079812800961,-77.9627902418779,39.0791851976433,-77.9619817581221
"smamBLAN_006",39.0849347781787,-77.9626822418778,39.0843072204255,-77.9618737581221
"smamBLAN_009",39.0858877739396,-77.9588122418779,39.0852602246647,-77.9580037581222
"smamBONA_002",65.1633647952435,-147.530672241878,65.1630252036693,-147.529863758122
"smamBONA_004",65.1921866106813,-147.536801241878,65.1918473882324,-147.535992758122
"smamBONA_014",65.1751487197896,-147.463446241878,65.1748092791236,-147.462637758122
"smamBONA_020",65.1872556422601,-147.547850241878,65.1869163566535,-147.547041758122
"smamBONA_023",65.1645737875025,-147.512100241878,65.1642342114104,-147.511291758122
"smamBONA_033",65.154949849121,-147.522127241878,65.1546101497916,-147.521318758122
"smamBONA_094",65.1638677920229,-147.496722241878,65.1635282068899,-147.495913758122
"smamCLBJ_033",33.3798865592196,-97.6208402418779,33.37921143947,-97.6200317581221
"smamCLBJ_034",33.3228507804514,-97.5784702418779,33.3221752182394,-97.5776617581221
"smamCLBJ_037",33.3211667869782,-97.5835292418778,33.3204912117126,-97.5827207581221
"smamCLBJ_039",33.3289407568454,-97.5828122418778,33.3282652418453,-97.5820037581221
