Grid,Day.1,Day.2,Day.3,Year,Week,MNA,Sample.Size,Full.(birth.and.death),Heterogeneous.survival,Date,spec
Henry Control,33456,33457,33458,1991,4,NA,42,44.05,43.73,8/6/91,PL
Henry Control,33478,33479,33480,1991,7,NA,40,53.3,52.1,8/28/91,PL
Henry Control,33499,33500,33501,1991,10,NA,30,61.5,63.66,9/18/91,PL
Tea Control,33463,33464,33465,1991,5,NA,38,45.02,44.75,8/13/91,PL
Tea Control,33485,33486,33487,1991,8,NA,52,51.34,51.34,9/4/91,PL
Tea Control,33506,33507,33508,1991,11,NA,42,64.04,64.21,9/25/91,PL
Henry Control,33827,33828,33829,1992,57,NA,91,108.63,107.34,8/11/92,PL
Henry Control,33848,33849,33850,1992,60,NA,74,84.38,84.11,9/1/92,PL
Henry Control,33876,33877,33878,1992,64,NA,48,82.9,79.21,9/29/92,PL
Tea Control,33820,33822,NA,1992,56,NA,116,134.69,131.48,8/4/92,PL
Tea Control,33841,33842,33843,1992,59,NA,100,119.54,118.3,8/25/92,PL
Tea Control,33869,33870,33871,1992,63,NA,95,124.01,122.78,9/22/92,PL
Henry Control,34191,34192,NA,1993,109,NA,39,49.1,51.2,8/10/93,PL
Tea Control,34184,34185,NA,1993,108,NA,37,51.7,69.7,8/3/93,PL
Henry Control,34569,34570,34571,1994,163,NA,9,8.6,8.6,8/23/94,PL
Henry Control,34597,34598,34599,1994,167,NA,8,9.5,9,9/20/94,PL
Tea Control,34548,34549,34550,1994,160,NA,10,7.3,7.3,8/2/94,PL
Tea Control,34576,34577,34578,1994,164,NA,13,12.6,12.6,8/30/94,PL
Tea Control,34604,34605,34606,1994,168,NA,15,34.7,37.3,9/27/94,PL
Green Control,34919,34920,NA,1995,213,90,81,101.5,101.5,8/8/95,PL
Green Control,34954,34955,NA,1995,218,77,59,116.5,109,9/12/95,PL
Green Experimental,34928,34929,NA,1995,214,34,NA,NA,NA,8/17/95,PL
Green Experimental,34956,34957,NA,1995,218,44,NA,NA,NA,9/14/95,PL
Henry Control,34912,34913,NA,1995,212,86,79,99,97.3,8/1/95,PL
Henry Control,34940,34941,NA,1995,216,84,76,104.6,103.5,8/29/95,PL
Henry Control,34939,34940,NA,1995,220,45,30,74.1,72,8/28/95,PL
Henry Experimental,34921,34922,NA,1995,213,38,NA,NA,NA,8/10/95,PL
Henry Experimental,34942,34943,NA,1995,216,66,NA,NA,NA,8/31/95,PL
Henry Experimental,34968,34969,NA,1995,220,63,NA,NA,NA,9/26/95,PL
Tea Control,34914,34915,NA,1995,212,157,143,193.7,187.2,8/3/95,PL
Tea Control,34947,34948,NA,1995,217,124,105,171.9,168.3,9/5/95,PL
Tea Experimental,34926,34927,NA,1995,214,38,NA,NA,NA,8/15/95,PL
Tea Experimental,34949,34950,NA,1995,217,63,NA,NA,NA,9/7/95,PL
Green Control,35283,35284,NA,1996,265,10,10,10,10,8/6/96,PL
Green Control,35313,35314,NA,1996,269,14,13,18.2,16.3,9/5/96,PL
Green Control,35341,35342,NA,1996,273,23,20,25.6,23.8,10/3/96,PL
Green Experimental,35283,35284,NA,1996,265,11,11,10,10,8/6/96,PL
Green Experimental,35311,35312,NA,1996,269,16,16,14.2,14.2,9/3/96,PL
Green Experimental,35339,35340,NA,1996,273,15,14,12.5,12.5,10/1/96,PL
Henry Control,35290,NA,NA,1996,266,5,4,0,0,8/13/96,PL
Henry Control,35304,35305,NA,1996,268,7,7,6,6,8/27/96,PL
Henry Control,35332,35333,NA,1996,272,11,10,7.3,7.3,9/24/96,PL
Henry Experimental,35285,35286,NA,1996,265,19,19,15,15,8/8/96,PL
Henry Experimental,35306,35307,NA,1996,268,17,16,18.5,17.4,8/29/96,PL
Henry Experimental,35334,35335,NA,1996,272,20,17,23.9,20.9,9/26/96,PL
Tea Control,35292,35293,NA,1996,266,12,12,14.6,14.7,8/15/96,PL
Tea Control,35318,35319,NA,1996,270,15,14,15.9,15.6,9/10/96,PL
Tea Experimental,35292,35293,NA,1996,266,10,10,8.8,8.8,8/15/96,PL
Tea Experimental,35320,35321,NA,1996,270,10,9,12.5,12.3,9/12/96,PL
Green Control,35662,35663,NA,1997,319,52,52,51.6,51.6,8/20/97,PL
Green Control,35691,35692,NA,1997,323,42,33,45.3,44.9,9/18/97,PL
Henry Control,35648,35649,NA,1997,317,20,21,20.2,20.2,8/6/97,PL
Henry Control,35677,35678,NA,1997,321,24,25,33.4,34.1,9/4/97,PL
Henry Control,35705,35706,NA,1997,325,30,29,42.9,40.7,10/2/97,PL
Tea Control,35655,35656,NA,1997,318,43,40,51.1,50.2,8/13/97,PL
Tea Control,35684,35685,NA,1997,322,34,30,41.3,39.7,9/11/97,PL
Green Control,36011,36012,NA,1998,369,74,72,75.5,75,8/4/98,PL
Green Control,36039,36040,NA,1998,373,74,67,78.7,78.3,9/1/98,PL
Green Control,36061,36063,NA,1998,376,71,61,72.4,72.2,9/23/98,PL
Green Experimental,36011,36012,NA,1998,369,76,74,77.4,77.3,8/4/98,PL
Green Experimental,36041,36042,NA,1998,373,70,66,73.5,72.6,9/3/98,PL
Green Experimental,36062,36063,NA,1998,376,79,67,90.5,88.4,9/24/98,PL
Henry Control,36003,36004,NA,1998,368,35,34,36,35.3,7/27/98,PL
Henry Control,36025,36026,NA,1998,371,34,31,36.8,36.3,8/18/98,PL
Henry Control,36047,36048,NA,1998,374,37,34,39.2,39,9/9/98,PL
Henry Experimental,36005,36006,NA,1998,368,34,33,160.3,68,7/29/98,PL
Henry Experimental,36025,36026,NA,1998,371,53,53,56.9,55.8,8/18/98,PL
Henry Experimental,36047,36048,NA,1998,374,51,50,55.2,54.4,9/9/98,PL
Tea Control,36005,36006,NA,1998,368,84,83,84.3,84.3,7/29/98,PL
Tea Control,36032,36033,NA,1998,372,75,67,77.3,77.3,8/25/98,PL
Tea Control,36053,36054,NA,1998,375,67,58,73,72.6,9/15/98,PL
Tea Experimental,36003,36004,NA,1998,368,68,67,68.5,68.3,7/27/98,PL
Tea Experimental,36034,36035,NA,1998,372,70,66,69.1,69,8/27/98,PL
Tea Experimental,36055,36056,NA,1998,375,82,76,77.7,77.7,9/17/98,PL
Green Control,36384,36385,NA,1999,422,125,121,129.1,128.3,8/12/99,PL
Green Control,36417,36418,NA,1999,427,86,78,97.2,95.8,9/14/99,PL
