Grid,Day.1,Day.2,Day.3,Year,Week,MNA,Sample.Size,Full.(birth.and.death),Heterogeneous.survival,Date,spec
Green Experimental,36382,36383,NA,1999,422,83,83,84.9,84.9,8/10/99,PL
Green Experimental,36419,36420,NA,1999,427,90,89,95.9,93.5,9/16/99,PL
Henry Control,36377,36378,NA,1999,421,69,64,74,73.5,8/5/99,PL
Henry Control,36396,36397,NA,1999,424,61,56,65.8,64.2,8/24/99,PL
Henry Control,36433,36434,NA,1999,429,59,53,68.4,65.9,9/30/99,PL
Henry Experimental,36375,36376,NA,1999,421,84,77,86.5,86.3,8/3/99,PL
Henry Experimental,36398,36399,NA,1999,424,77,70,81.5,80.8,8/26/99,PL
Henry Experimental,36431,36432,NA,1999,429,79,73,89.8,87.9,9/28/99,PL
Tea Control,36389,36390,NA,1999,423,79,77,80.4,80.1,8/17/99,PL
Tea Control,36424,36425,NA,1999,428,66,62,69.1,68.4,9/21/99,PL
Tea Experimental,36390,36391,NA,1999,423,78,76,77.5,77.5,8/18/99,PL
Tea Experimental,36426,36427,NA,1999,428,87,82,89,88.6,9/23/99,PL
Green Control,36755,36756,NA,2000,475,22,22,26,24.4,8/17/00,PL
Green Control,36790,36791,NA,2000,480,21,20,26.9,24.4,9/21/00,PL
Green Experimental,36753,36754,NA,2000,475,17,17,16.2,16.2,8/15/00,PL
Green Experimental,36788,36789,NA,2000,480,29,29,27,27,9/19/00,PL
Henry Control,36741,36742,NA,2000,473,9,9,7.5,7.5,8/3/00,PL
Henry Control,36760,36761,NA,2000,476,5,5,4.8,4.8,8/22/00,PL
Henry Control,36797,36798,NA,2000,481,22,22,15.3,15.3,9/28/00,PL
Henry Experimental,36739,36740,NA,2000,473,13,9,21,16.7,8/1/00,PL
Henry Experimental,36760,36761,NA,2000,476,22,18,38.4,30.5,8/22/00,PL
Henry Experimental,36795,36796,NA,2000,481,30,27,29.5,29.6,9/26/00,PL
Tea Control,36746,36747,NA,2000,474,7,7,6.9,6.9,8/8/00,PL
Tea Control,36783,36784,NA,2000,479,20,19,21.7,21,9/14/00,PL
Tea Experimental,36747,36748,NA,2000,474,6,5,6.8,6.5,8/9/00,PL
Tea Experimental,36781,36782,NA,2000,479,15,14,18.8,16.3,9/12/00,PL
Green Control,37105,37106,NA,2001,525,46,44,49.3,48.4,8/2/01,PL
Green Control,37126,37127,NA,2001,528,54,52,54.1,54,8/23/01,PL
Green Control,37145,37146,NA,2001,531,49,47,49,48.7,9/11/01,PL
Green Experimental,37103,37104,NA,2001,525,38,36,40,38.9,7/31/01,PL
Green Experimental,37124,37125,NA,2001,528,42,41,42.3,42.3,8/21/01,PL
Green Experimental,37147,37148,NA,2001,531,60,58,63,62,9/13/01,PL
Henry Control,37112,37113,NA,2001,526,51,50,51.4,51.3,8/9/01,PL
Henry Control,37131,37132,NA,2001,529,55,52,58.3,57.9,8/28/01,PL
Henry Control,37154,37155,NA,2001,532,70,66,72,71.1,9/20/01,PL
Henry Experimental,37111,37112,NA,2001,526,63,58,65.6,65.2,8/8/01,PL
Henry Experimental,37133,37134,NA,2001,529,56,50,60.6,59.6,8/30/01,PL
Henry Experimental,37152,37153,NA,2001,532,63,63,65.4,65.3,9/18/01,PL
Tea Control,37117,37118,NA,2001,527,52,52,51.8,51.8,8/14/01,PL
Tea Control,37139,37140,NA,2001,530,49,48,52,52,9/5/01,PL
Tea Control,37166,37167,NA,2001,534,46,43,62.7,55.5,10/2/01,PL
Tea Experimental,37119,37120,NA,2001,527,60,57,62.2,62,8/16/01,PL
Tea Experimental,37140,37141,NA,2001,530,69,65,76.4,75.2,9/6/01,PL
Tea Experimental,37168,37169,NA,2001,534,94,87,99.6,98,10/4/01,PL
Green Control,37476,37477,NA,2002,578,110,108,109.5,109.3,8/8/02,PL
Green Control,37497,37498,NA,2002,581,86,84,85.3,85.3,8/29/02,PL
Green Control,37518,37519,NA,2002,584,78,65,85.4,84.1,9/19/02,PL
Green Experimental,37474,37475,NA,2002,578,98,97,98.3,98.2,8/6/02,PL
Green Experimental,37495,37496,NA,2002,581,86,83,87.5,87.3,8/27/02,PL
Green Experimental,37516,37517,NA,2002,584,66,56,67.2,66.9,9/17/02,PL
Henry Control,37483,37484,NA,2002,579,60,55,61.8,61.4,8/15/02,PL
Henry Control,37504,37505,NA,2002,582,58,55,59.7,59.4,9/5/02,PL
Henry Control,37525,37526,NA,2002,585,78,75,85.8,84.6,9/26/02,PL
Henry Experimental,37481,37482,NA,2002,579,63,61,64.2,64,8/13/02,PL
Henry Experimental,37502,37503,NA,2002,582,59,57,60.1,60,9/3/02,PL
Henry Experimental,37523,37524,NA,2002,585,57,53,63,62.3,9/24/02,PL
Tea Control,37467,37468,NA,2002,577,86,85,86.2,86.2,7/30/02,PL
Tea Control,37488,37489,NA,2002,580,83,78,87.3,86.3,8/20/02,PL
Tea Control,37511,37512,NA,2002,583,76,71,76.3,76.3,9/12/02,PL
Tea Control,37532,37533,NA,2002,586,82,75,86.9,85.8,10/3/02,PL
Tea Experimental,37469,37470,NA,2002,577,88,79,89.6,88.6,8/1/02,PL
Tea Experimental,37490,37491,NA,2002,580,88,83,89.7,89.4,8/22/02,PL
Tea Experimental,37509,37510,NA,2002,583,82,74,84.3,84,9/10/02,PL
Tea Experimental,37530,37531,NA,2002,586,98,87,110.1,108.6,10/1/02,PL
Green Control,37838,37839,NA,2003,630,88,83,95,93.2,8/5/03,PL
Green Control,37861,37862,NA,2003,633,77,71,84.5,83,8/28/03,PL
Green Control,37880,37881,NA,2003,636,66,52,75.5,73.2,9/16/03,PL
Green Experimental,37840,37841,NA,2003,630,54,52,53.5,53.4,8/7/03,PL
Green Experimental,37859,37860,NA,2003,633,54,54,53.6,53.6,8/26/03,PL
Green Experimental,37880,37881,NA,2003,636,48,44,50.7,49.6,9/16/03,PL
Henry Control,37833,37834,NA,2003,629,62,58,62.3,62,7/31/03,PL
Henry Control,37854,37855,NA,2003,632,61,56,63.9,63.5,8/21/03,PL
Henry Control,37875,37876,NA,2003,635,50,49,50.3,50.3,9/11/03,PL
Henry Control,37896,37897,NA,2003,638,61,55,69.2,69.1,10/2/03,PL
Henry Experimental,37831,37832,NA,2003,629,68,62,78,75.3,7/29/03,PL
Henry Experimental,37852,37853,NA,2003,632,74,68,76.8,76.2,8/19/03,PL
Henry Experimental,37873,37874,NA,2003,635,76,74,75.5,75.3,9/9/03,PL
Henry Experimental,37894,37895,NA,2003,638,88,75,87.8,88.3,9/30/03,PL
Tea Control,37847,37848,NA,2003,631,81,75,82.2,81.4,8/14/03,PL
Tea Control,37866,37868,NA,2003,634,79,74,80.8,80.5,9/2/03,PL
Tea Control,37887,37888,NA,2003,637,71,55,73.6,73.4,9/23/03,PL
Tea Experimental,37845,37846,NA,2003,631,70,63,75.5,74.4,8/12/03,PL
Tea Experimental,37868,37869,NA,2003,634,76,74,75.6,75.3,9/4/03,PL
Tea Experimental,37889,37890,NA,2003,637,75,61,86.1,83.8,9/25/03,PL
Green Control,38202,38203,NA,2004,682,145,132,154.9,152.8,8/3/04,PL
Green Control,38223,38224,NA,2004,685,135,128,141.1,140.7,8/24/04,PL
Green Control,38244,38245,NA,2004,688,95,79,109,107.4,9/14/04,PL
Green Experimental,38204,38205,NA,2004,682,67,65,68,68,8/5/04,PL
Green Experimental,38225,38226,NA,2004,685,71,69,72.1,72.1,8/26/04,PL
Green Experimental,38246,38247,NA,2004,688,71,68,82.1,79.8,9/16/04,PL
Henry Control,38216,38217,NA,2004,684,65,62,67.2,66.9,8/17/04,PL
Henry Control,38239,38240,NA,2004,687,71,66,78.4,75.8,9/9/04,PL
Henry Control,38258,38259,NA,2004,690,64,58,72.1,70.5,9/28/04,PL
Henry Experimental,38218,38219,NA,2004,684,81,76,80.5,80.6,8/19/04,PL
Henry Experimental,38238,38239,NA,2004,687,79,75,80.2,79.4,9/8/04,PL
Henry Experimental,38260,38261,NA,2004,690,61,57,59.3,58.8,9/30/04,PL
Tea Control,38211,38212,NA,2004,683,45,40,49.7,50.5,8/12/04,PL
Tea Control,38230,38231,NA,2004,686,38,37,39.1,38.6,8/31/04,PL
Tea Control,38253,38254,NA,2004,689,42,42,41.1,41.1,9/23/04,PL
Tea Experimental,38209,38210,NA,2004,683,77,72,79.5,78.7,8/10/04,PL
Tea Experimental,38232,38233,NA,2004,686,77,74,78.2,78,9/2/04,PL
Tea Experimental,38251,38252,NA,2004,689,61,60,61.7,61.6,9/21/04,PL
Green Control,38582,38583,NA,2005,736,7,7,6,6,8/18/05,PL
Green Control,38602,38603,NA,2005,739,11,11,9.6,9.6,9/7/05,PL
Green Control,38624,38625,NA,2005,742,25,23,65.3,43.2,9/29/05,PL
Green Experimental,38580,38581,NA,2005,736,13,14,13.1,13.1,8/16/05,PL
Green Experimental,38603,38604,NA,2005,739,12,12,11.1,11.1,9/8/05,PL
Green Experimental,38622,38623,NA,2005,742,15,14,35.6,18.8,9/27/05,PL
Henry Control,38575,38576,NA,2005,735,4,3,4,4,8/11/05,PL
Henry Control,38596,38597,NA,2005,738,6,6,5.6,5.6,9/1/05,PL
Henry Control,38615,38616,NA,2005,741,15,15,12.8,12.8,9/20/05,PL
Henry Experimental,38573,38574,NA,2005,735,8,8,7.9,7.9,8/9/05,PL
Henry Experimental,38594,38595,NA,2005,738,11,11,10.3,10.3,8/30/05,PL
Henry Experimental,38617,38618,NA,2005,741,17,17,16,16,9/22/05,PL
Tea Control,38566,38567,NA,2005,734,1,1,1,1,8/2/05,PL
Tea Control,38589,38590,NA,2005,737,2,2,1.5,1.5,8/25/05,PL
Tea Control,38610,38611,NA,2005,740,9,9,5,5,9/15/05,PL
Tea Experimental,38568,38569,NA,2005,734,3,3,3,3,8/4/05,PL
Tea Experimental,38587,38588,NA,2005,737,5,5,3,3,8/23/05,PL
Tea Experimental,38608,38609,NA,2005,740,11,11,9.6,9.6,9/13/05,PL
Green Control,38944,38945,NA,2006,788,135,131,137.64,137.16,8/15/06,PL
Green Control,38965,38966,NA,2006,791,106,96,112.84,111.86,9/5/06,PL
Green Control,38986,38987,NA,2006,794,90,80,94.92,94.59,9/26/06,PL
Green Experimental,38946,38947,NA,2006,788,79,74,85.65,84.98,8/17/06,PL
Green Experimental,38967,38968,NA,2006,791,69,61,76,75.31,9/7/06,PL
Green Experimental,38988,38989,NA,2006,794,77,70,84.6,84.17,9/28/06,PL
Henry Control,38932,38933,NA,2006,786,66,61,69.26,68.89,8/3/06,PL
Henry Control,38951,38952,NA,2006,789,56,54,56.63,56.51,8/22/06,PL
Henry Control,38972,38973,NA,2006,792,62,61,62.53,62.41,9/12/06,PL
Henry Experimental,38930,38931,NA,2006,786,67,66,67.49,67.43,8/1/06,PL
Henry Experimental,38953,38954,NA,2006,789,67,66,67.68,67.52,8/24/06,PL
Henry Experimental,38974,38975,NA,2006,792,64,63,64.75,64.64,9/14/06,PL
Tea Control,38937,38938,NA,2006,787,51,51,50.73,50.73,8/8/06,PL
Tea Control,38960,38961,NA,2006,790,48,46,50.29,49.45,8/31/06,PL
Tea Control,38981,38982,NA,2006,793,53,51,55.02,54.93,9/21/06,PL
Tea Experimental,38939,38940,NA,2006,787,53,52,53.49,53.53,8/10/06,PL
Tea Experimental,38958,38959,NA,2006,790,60,59,60.71,60.46,8/29/06,PL
Tea Experimental,38979,38980,NA,2006,793,68,64,74.14,73.29,9/19/06,PL
Green Control,39296,39297,NA,2007,838,238,220,257.14,254.37,8/2/07,PL
Green Control,39322,39323,NA,2007,842,186,174,195.74,195.14,8/28/07,PL
Green Control,39343,39344,NA,2007,845,143,127,148.07,147.4,9/18/07,PL
Green Experimental,39294,39295,NA,2007,838,144,134,150.94,150.14,7/31/07,PL
Green Experimental,39324,39325,NA,2007,842,122,117,124.88,124.31,8/30/07,PL
Green Experimental,39345,39346,NA,2007,845,108,96,111.27,110.89,9/20/07,PL
Henry Control,39315,39316,NA,2007,841,147,137,153.1,151.97,8/21/07,PL
Henry Control,39338,39339,NA,2007,844,104,89,106.45,106.42,9/13/07,PL
Henry Control,39357,39358,NA,2007,847,94,86,101.7,100.71,10/2/07,PL
Henry Experimental,39317,39318,NA,2007,841,128,121,130.86,130.33,8/23/07,PL
Henry Experimental,39336,39337,NA,2007,844,113,101,117.56,117.5,9/11/07,PL
Tea Control,39303,39304,NA,2007,839,199,189,205.56,204.16,8/9/07,PL
Tea Control,39329,39330,NA,2007,843,150,137,157.95,157.1,9/4/07,PL
Tea Control,39352,39353,NA,2007,846,110,91,116.78,116.61,9/27/07,PL
Tea Experimental,39301,39302,NA,2007,839,185,171,192.94,192.35,8/7/07,PL
Tea Experimental,39331,39332,NA,2007,843,154,139,160.43,159.87,9/6/07,PL
Tea Experimental,39350,39351,NA,2007,846,143,125,157.79,157.22,9/25/07,PL
Green Control,39660,39661,NA,2008,890,45,42,44.84,44.58,7/31/08,PL
Green Control,39681,39682,NA,2008,893,43,40,42.73,42.54,8/21/08,PL
Green Control,39702,39703,NA,2008,896,51,49,50.73,50.91,9/11/08,PL
Green Control,39723,39724,NA,2008,899,67,63,70.06,69.62,10/2/08,PL
Green Experimental,39658,39659,NA,2008,890,29,28,29.45,29.36,7/29/08,PL
Green Experimental,39679,39680,NA,2008,893,23,23,22.74,22.74,8/19/08,PL
Green Experimental,39700,39701,NA,2008,896,36,36,34.53,34.53,9/9/08,PL
Green Experimental,39721,39722,NA,2008,899,41,38,45.5,44.46,9/30/08,PL
Henry Control,39667,39668,NA,2008,891,29,28,29.9,29.88,8/7/08,PL
Henry Control,39688,39689,NA,2008,894,28,28,29.98,29.81,8/28/08,PL
Henry Control,39709,39710,NA,2008,897,46,46,44.53,44.53,9/18/08,PL
Henry Experimental,39665,39666,NA,2008,891,32,32,31.26,31.26,8/5/08,PL
Henry Experimental,39686,39687,NA,2008,894,34,35,34.62,34.62,8/26/08,PL
Henry Experimental,39707,39708,NA,2008,897,46,45,46.31,46.1,9/16/08,PL
Tea Control,39674,39675,NA,2008,892,29,29,28.64,28.64,8/14/08,PL
Tea Control,39693,39694,NA,2008,895,20,19,20.07,20,9/2/08,PL
Tea Control,39716,39717,NA,2008,898,34,32,35.68,35.88,9/25/08,PL
Tea Experimental,39672,39673,NA,2008,892,26,24,29.5,29.3,8/12/08,PL
Tea Experimental,39695,39696,NA,2008,895,29,25,34.58,34.38,9/4/08,PL
Tea Experimental,39714,39715,NA,2008,898,44,38,59.36,59.7,9/23/08,PL
Green Control,40029,40030,NA,2009,943,37,37,36.54,36.54,8/4/09,PL
Green Control,40052,40053,NA,2009,946,44,42,47.63,46.94,8/27/09,PL
Green Control,40073,40074,NA,2009,949,49,46,48.45,49.04,9/17/09,PL
Green Experimental,40031,40032,NA,2009,943,29,27,30,29.7,8/6/09,PL
Green Experimental,40050,40051,NA,2009,946,31,30,29.65,29.65,8/25/09,PL
Green Experimental,40071,40072,NA,2009,949,24,21,20.53,20.53,9/15/09,PL
Henry Control,40022,40023,NA,2009,942,17,17,15.75,15.75,7/28/09,PL
Henry Control,40043,40044,NA,2009,945,25,25,23.11,23.11,8/18/09,PL
Henry Control,40066,40067,NA,2009,948,28,27,29.27,29.35,9/10/09,PL
Henry Control,40085,40086,NA,2009,951,49,49,47.22,47.22,9/29/09,PL
Henry Experimental,40024,40025,NA,2009,942,13,12,14.59,13.74,7/30/09,PL
Henry Experimental,40045,40046,NA,2009,945,22,22,20.13,20.13,8/20/09,PL
Henry Experimental,40065,40066,NA,2009,948,25,23,25.2,25,9/9/09,PL
Henry Experimental,40087,40088,NA,2009,951,39,37,39.43,39.01,10/1/09,PL
Tea Control,40036,40037,NA,2009,944,22,21,23.14,22.75,8/11/09,PL
Tea Control,40059,40060,NA,2009,947,29,29,28,28,9/3/09,PL
Tea Control,40078,40079,NA,2009,950,38,38,37.3,37.3,9/22/09,PL
Tea Experimental,40038,40039,NA,2009,944,29,29,28,28,8/13/09,PL
Tea Experimental,40057,40058,NA,2009,947,24,24,23.21,23.21,9/1/09,PL
Tea Experimental,40080,40081,NA,2009,950,44,44,42.5,42.5,9/24/09,PL
Green Control,40409,40410,NA,2010,997,49,46,51.19,50.65,8/19/10,PL
Green Control,40428,40429,NA,2010,1000,46,41,49.08,48.8,9/7/10,PL
Green Control,40449,40450,NA,2010,1003,68,63,83.65,76.28,9/28/10,PL
Green Experimental,40407,40408,NA,2010,997,24,22,24.92,24.93,8/17/10,PL
Green Experimental,40430,40431,NA,2010,1000,34,31,39.7,39.82,9/9/10,PL
Green Experimental,40451,40452,NA,2010,1003,52,50,55.68,54.12,9/30/10,PL
Henry Control,40402,40403,NA,2010,996,77,74,79.03,78.62,8/12/10,PL
Henry Control,40421,40422,NA,2010,999,64,56,69.1,68.5,8/31/10,PL
Henry Control,40442,40443,NA,2010,1002,55,51,57.84,57.75,9/21/10,PL
Henry Experimental,40400,40401,NA,2010,996,56,51,63.92,62.04,8/10/10,PL
Henry Experimental,40423,40424,NA,2010,999,41,36,44,43.8,9/2/10,PL
Henry Experimental,40444,40445,NA,2010,1002,61,55,79.96,73.33,9/23/10,PL
Tea Control,40395,40396,NA,2010,995,57,52,59.7,58.99,8/5/10,PL
Tea Control,40416,40417,NA,2010,998,44,35,46.37,46.36,8/26/10,PL
Tea Control,40437,40438,NA,2010,1001,38,26,38.3,37.84,9/16/10,PL
Tea Experimental,40393,40394,NA,2010,995,53,52,53.44,53.33,8/3/10,PL
Tea Experimental,40414,40415,NA,2010,998,43,38,45.93,45.69,8/24/10,PL
Tea Experimental,40435,40436,NA,2010,1001,60,58,62.74,61.79,9/14/10,PL
Green Control,40759,40760,NA,2011,1047,208,187,219.16,216.76,8/4/11,PL
Green Control,40780,40781,NA,2011,1050,175,145,186.84,184.4,8/25/11,PL
Green Control,40801,40802,NA,2011,1053,148,95,169.59,167.63,9/15/11,PL
Green Experimental,40757,40758,NA,2011,1047,212,196,216.95,215.38,8/2/11,PL
Green Experimental,40778,40779,NA,2011,1050,183,159,193.52,191.31,8/23/11,PL
Green Experimental,40799,40800,NA,2011,1053,136,103,136.44,135.88,9/13/11,PL
Henry Control,40764,40765,NA,2011,1048,186,166,204.72,203.24,8/9/11,PL
Henry Control,40787,40788,NA,2011,1051,144,124,154.91,152.84,9/1/11,PL
Henry Control,40806,40807,NA,2011,1054,111,90,126.13,125.46,9/20/11,PL
Henry Experimental,40766,40767,NA,2011,1048,193,178,207.13,204.38,8/11/11,PL
Henry Experimental,40785,40786,NA,2011,1051,155,132,158.64,157.85,8/30/11,PL
Henry Experimental,40808,40809,NA,2011,1054,141,93,158.35,149.18,9/22/11,PL
Tea Control,40771,40772,NA,2011,1049,164,152,171.36,170.47,8/16/11,PL
Tea Control,40792,40793,NA,2011,1052,128,112,141.82,139.85,9/6/11,PL
Tea Control,40815,40816,NA,2011,1055,96,64,118.08,113.57,9/29/11,PL
Tea Experimental,40773,40774,NA,2011,1049,161,139,170.96,171.12,8/18/11,PL
Tea Experimental,40794,40795,NA,2011,1052,135,109,155.5,149.78,9/8/11,PL
Tea Experimental,40813,40814,NA,2011,1055,104,62,124.41,122.84,9/27/11,PL
Green Control,41128,41129,NA,2012,1100,132,128,136.02,135.6,8/7/12,PL
Green Control,41150,41151,NA,2012,1103,90,75,105.96,104.71,8/29/12,PL
Green Control,41170,41171,NA,2012,1106,110,107,114.29,113.53,9/18/12,PL
Green Experimental,41130,41131,NA,2012,1100,101,96,105.17,105.17,8/9/12,PL
Green Experimental,41151,41152,NA,2012,1103,79,75,84.25,84.7,8/30/12,PL
Green Experimental,41172,41173,NA,2012,1106,124,118,142.85,137.37,9/20/12,PL
Henry Control,41121,41122,NA,2012,1099,86,80,90.77,91.07,7/31/12,PL
Henry Control,41142,41143,NA,2012,1102,91,89,94.22,93.91,8/21/12,PL
Henry Control,41163,41164,NA,2012,1105,96,93,105.44,104.23,9/11/12,PL
Henry Control,41184,41186,NA,2012,1108,88,88,90.09,89.63,10/2/12,PL
Henry Experimental,41123,41124,NA,2012,1099,127,122,130.68,130.43,8/2/12,PL
Henry Experimental,41144,41145,NA,2012,1102,112,104,116.21,116.17,8/23/12,PL
Henry Experimental,41165,41166,NA,2012,1105,124,115,134.53,131.71,9/13/12,PL
Henry Experimental,41185,41187,NA,2012,1108,134,126,148.08,141.27,10/3/12,PL
Tea Control,41135,41136,NA,2012,1101,80,76,81.3,81.25,8/14/12,PL
Tea Control,41156,41157,NA,2012,1104,81,75,84.98,84.5,9/4/12,PL
Tea Control,41177,41178,NA,2012,1107,86,84,92.76,91.63,9/25/12,PL
Tea Experimental,41137,41138,NA,2012,1101,72,70,73.23,72.85,8/16/12,PL
Tea Experimental,41158,41159,NA,2012,1104,65,60,69.49,69.29,9/6/12,PL
Tea Experimental,41179,41180,NA,2012,1107,71,71,70.36,70.36,9/27/12,PL
Green Control,41492,41493,NA,2013,1152,7,7,5.33,5.33,8/6/13,PL
Green Control,41515,41516,NA,2013,1155,8,8,6.75,6.75,8/29/13,PL
Green Control,41536,41537,NA,2013,1158,8,8,7.2,7.2,9/19/13,PL
Green Experimental,41494,41495,NA,2013,1152,3,3,3,3,8/8/13,PL
Green Experimental,41513,41514,NA,2013,1155,9,9,6.67,6.67,8/27/13,PL
Green Experimental,41534,41535,NA,2013,1158,10,10,8.25,8.25,9/17/13,PL
Henry Control,41485,41486,NA,2013,1151,2,1,4,2,7/30/13,PL
Henry Control,41508,41509,NA,2013,1154,7,7,4,4,8/22/13,PL
