"scene","sensor","tile","year_doy","evi2","year","doy","date"
"HLS_S30_T18TWM_2016002","S30","T18TWM","2016002",0.178827785793938,2016,2,2016-01-02
"HLS_S30_T18TWM_2016019","S30","T18TWM","2016019",0.185668126934028,2016,19,2016-01-19
"HLS_L30_T18TWM_2016033","L30","T18TWM","2016033",0.189183211111004,2016,33,2016-02-02
"HLS_L30_T18TWM_2016042","L30","T18TWM","2016042",NA,2016,42,2016-02-11
"HLS_S30_T18TWM_2016042","S30","T18TWM","2016042",NA,2016,42,2016-02-11
"HLS_L30_T18TWM_2016049","L30","T18TWM","2016049",0.193319395388347,2016,49,2016-02-18
"HLS_S30_T18TWM_2016049","S30","T18TWM","2016049",0.202344254068392,2016,49,2016-02-18
"HLS_L30_T18TWM_2016058","L30","T18TWM","2016058",0.200339226853186,2016,58,2016-02-27
"HLS_S30_T18TWM_2016062","S30","T18TWM","2016062",0.198257097349729,2016,62,2016-03-02
"HLS_S30_T18TWM_2016069","S30","T18TWM","2016069",0.193885363587305,2016,69,2016-03-09
"HLS_S30_T18TWM_2016072","S30","T18TWM","2016072",0.19979593529481,2016,72,2016-03-12
"HLS_S30_T18TWM_2016079","S30","T18TWM","2016079",0.199526615374662,2016,79,2016-03-19
"HLS_L30_T18TWM_2016081","L30","T18TWM","2016081",0.213454190397176,2016,81,2016-03-21
"HLS_S30_T18TWM_2016082","S30","T18TWM","2016082",NA,2016,82,2016-03-22
"HLS_L30_T18TWM_2016090","L30","T18TWM","2016090",0.208391562856959,2016,90,2016-03-30
"HLS_L30_T18TWM_2016097","L30","T18TWM","2016097",NA,2016,97,2016-04-06
"HLS_L30_T18TWM_2016106","L30","T18TWM","2016106",0.212674623906759,2016,106,2016-04-15
"HLS_S30_T18TWM_2016109","S30","T18TWM","2016109",0.212388726603906,2016,109,2016-04-18
"HLS_S30_T18TWM_2016112","S30","T18TWM","2016112",0.213352538580653,2016,112,2016-04-21
"HLS_L30_T18TWM_2016113","L30","T18TWM","2016113",0.214630588414426,2016,113,2016-04-22
"HLS_S30_T18TWM_2016119","S30","T18TWM","2016119",0.246610580051118,2016,119,2016-04-28
"HLS_L30_T18TWM_2016129","L30","T18TWM","2016129",NA,2016,129,2016-05-08
"HLS_S30_T18TWM_2016129","S30","T18TWM","2016129",0.321955248230157,2016,129,2016-05-08
"HLS_S30_T18TWM_2016132","S30","T18TWM","2016132",0.367275393214063,2016,132,2016-05-11
"HLS_L30_T18TWM_2016138","L30","T18TWM","2016138",NA,2016,138,2016-05-17
"HLS_S30_T18TWM_2016139","S30","T18TWM","2016139",0.546690427771896,2016,139,2016-05-18
"HLS_L30_T18TWM_2016145","L30","T18TWM","2016145",NA,2016,145,2016-05-24
"HLS_S30_T18TWM_2016149","S30","T18TWM","2016149",0.680012315802451,2016,149,2016-05-28
"HLS_L30_T18TWM_2016154","L30","T18TWM","2016154",NA,2016,154,2016-06-02
"HLS_S30_T18TWM_2016159","S30","T18TWM","2016159",0.769626263139187,2016,159,2016-06-07
"HLS_L30_T18TWM_2016161","L30","T18TWM","2016161",0.701140785456002,2016,161,2016-06-09
"HLS_S30_T18TWM_2016162","S30","T18TWM","2016162",0.705354591746653,2016,162,2016-06-10
"HLS_S30_T18TWM_2016169","S30","T18TWM","2016169",NA,2016,169,2016-06-17
"HLS_L30_T18TWM_2016170","L30","T18TWM","2016170",0.717143787097234,2016,170,2016-06-18
"HLS_S30_T18TWM_2016172","S30","T18TWM","2016172",0.707993930235884,2016,172,2016-06-20
"HLS_L30_T18TWM_2016177","L30","T18TWM","2016177",0.678593499550395,2016,177,2016-06-25
"HLS_S30_T18TWM_2016179","S30","T18TWM","2016179",0.570156692304155,2016,179,2016-06-27
"HLS_S30_T18TWM_2016182","S30","T18TWM","2016182",0.704358893915076,2016,182,2016-06-30
"HLS_L30_T18TWM_2016186","L30","T18TWM","2016186",0.711853665250991,2016,186,2016-07-04
"HLS_S30_T18TWM_2016192","S30","T18TWM","2016192",NA,2016,192,2016-07-10
"HLS_S30_T18TWM_2016199","S30","T18TWM","2016199",0.724485372357895,2016,199,2016-07-17
"HLS_L30_T18TWM_2016202","L30","T18TWM","2016202",0.682532365614489,2016,202,2016-07-20
