"siteID","year","greenup","midgreenup","maturity"
"BLAN",2016,87,116,148
"BLAN",2017,80,108,137
"BLAN",2018,93,120,150
"BLAN",2019,85,108,136
"BLAN",2020,82,114,149
"BLAN",2021,82,108,137
"BLAN",2022,92,119,147
"BLAN",2023,78,106,137
"BLAN",2024,80,112,143
"CLBJ",2016,72,103,142
"CLBJ",2017,65,95,152
"CLBJ",2018,74,98,126
"CLBJ",2019,72,96,126
"CLBJ",2020,64,90,124
"CLBJ",2021,71,99,140
"CLBJ",2022,76,101,128
"CLBJ",2023,73,98,126
"CLBJ",2024,53,81,112
"DELA",2016,87,109,137
"DELA",2017,73,95,125
"DELA",2018,75,97,126
"DELA",2019,80,98,125
"DELA",2020,76,91,125
"DELA",2021,83,103,131
"DELA",2022,92,110,145
"DELA",2023,74,103,138
"DELA",2024,79,100,126
"GREN",2016,113,136,161
"GREN",2017,106,129,157
"GREN",2018,111,133,159
"GREN",2019,101,126,153
"GREN",2020,113,138,163
"GREN",2021,98,128,155
"GREN",2022,111,133,157
"GREN",2023,98,119,142
"GREN",2024,94,119,142
"HARV",2016,116,140,164
"HARV",2017,105,128,154
"HARV",2018,115,137,162
"HARV",2019,107,134,160
"HARV",2020,116,142,168
"HARV",2021,114,136,160
"HARV",2022,117,138,163
"HARV",2023,107,130,156
"HARV",2024,109,133,159
"HNRY",2016,113,136,161
"HNRY",2017,110,131,156
"HNRY",2018,110,132,158
"HNRY",2019,108,130,155
"HNRY",2020,115,141,167
"HNRY",2021,103,128,154
"HNRY",2022,108,132,157
"HNRY",2023,96,119,142
"HNRY",2024,102,123,146
"KONA",2016,84,115,177
"KONA",2017,83,112,142
"KONA",2018,102,124,146
"KONA",2019,90,118,151
"KONA",2020,94,126,155
"KONA",2021,92,118,147
"KONA",2022,100,128,156
"KONA",2023,100,125,153
"KONA",2024,76,111,152
"KONZ",2016,111,137,170
"KONZ",2017,102,126,153
"KONZ",2018,111,130,152
"KONZ",2019,106,130,158
"KONZ",2020,118,140,168
"KONZ",2021,117,139,165
"KONZ",2022,117,138,165
"KONZ",2023,112,136,163
"KONZ",2024,109,133,160
"LENO",2016,72,97,126
"LENO",2017,69,93,121
"LENO",2018,71,94,122
"LENO",2019,72,92,118
"LENO",2020,69,86,112
"LENO",2021,76,100,127
"LENO",2022,79,101,129
"LENO",2023,59,85,120
"LENO",2024,69,94,122
"MLBS",2016,118,145,173
"MLBS",2017,116,139,163
"MLBS",2018,123,143,166
"MLBS",2019,108,133,163
"MLBS",2020,119,149,178
"MLBS",2021,118,142,168
"MLBS",2022,112,139,167
"MLBS",2023,113,136,164
"MLBS",2024,112,135,160
"OAES",2016,69,98,127
"OAES",2017,71,100,128
"OAES",2018,100,127,176
"OAES",2019,78,102,128
"OAES",2020,74,100,126
"OAES",2021,74,109,201
"OAES",2022,102,128,155
"OAES",2023,85,119,147
"OAES",2024,62,90,118
"ORNL",2016,83,111,142
"ORNL",2017,86,112,142
"ORNL",2018,86,112,138
"ORNL",2019,83,107,138
"ORNL",2020,84,109,141
"ORNL",2021,85,110,136
"ORNL",2022,89,115,145
"ORNL",2023,77,104,135
"ORNL",2024,81,109,138
"SCBI",2016,76,110,149
"SCBI",2017,81,108,145
"SCBI",2018,94,120,151
"SCBI",2019,87,113,146
"SCBI",2020,70,99,135
"SCBI",2021,82,107,145
"SCBI",2022,78,107,138
"SCBI",2023,75,102,132
"SCBI",2024,81,106,133
"SERC",2016,98,122,150
"SERC",2017,100,125,162
"SERC",2018,108,127,153
"SERC",2019,93,116,149
"SERC",2020,92,121,157
"SERC",2021,98,121,158
"SERC",2022,100,121,146
"SERC",2023,88,112,152
"SERC",2024,100,122,149
"STEI",2016,114,142,171
"STEI",2017,111,139,165
"STEI",2018,117,138,164
"STEI",2019,121,144,172
"STEI",2020,121,144,170
"STEI",2021,112,138,163
"STEI",2022,118,141,166
"STEI",2023,110,133,161
"STEI",2024,111,137,166
"TALL",2016,81,108,137
"TALL",2017,80,104,133
"TALL",2018,82,106,135
"TALL",2019,90,112,147
"TALL",2020,72,97,143
"TALL",2021,90,113,148
"TALL",2022,85,110,137
"TALL",2023,84,110,143
"TALL",2024,80,106,134
"TEA",2016,115,137,162
"TEA",2017,107,130,161
"TEA",2018,111,132,156
"TEA",2019,102,126,152
"TEA",2020,113,139,166
"TEA",2021,107,130,157
"TEA",2022,110,133,157
"TEA",2023,97,118,142
"TEA",2024,99,123,146
"TREE",2016,124,149,175
"TREE",2017,114,142,169
"TREE",2018,117,142,170
"TREE",2019,121,146,174
"TREE",2020,119,145,173
"TREE",2021,114,142,170
"TREE",2022,119,144,173
"TREE",2023,115,140,169
"TREE",2024,112,140,169
"UKFS",2016,87,113,141
"UKFS",2017,90,115,146
"UKFS",2018,102,125,151
"UKFS",2019,93,119,148
"UKFS",2020,92,121,151
"UKFS",2021,95,121,148
"UKFS",2022,103,127,155
"UKFS",2023,97,123,151
"UKFS",2024,88,115,141
"UNDE",2016,117,141,166
"UNDE",2017,113,142,173
"UNDE",2018,122,142,166
"UNDE",2019,128,151,176
"UNDE",2020,124,147,173
"UNDE",2021,111,140,166
"UNDE",2022,115,141,172
"UNDE",2023,120,142,167
"UNDE",2024,115,141,166
"OSBS",2016,82,114,152
"OSBS",2017,97,129,195
"OSBS",2018,69,98,132
"OSBS",2019,73,109,138
"OSBS",2020,97,120,146
"OSBS",2021,84,113,144
"OSBS",2022,86,109,134
"OSBS",2023,65,106,142
"OSBS",2024,68,100,128
