node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
theta.ln,-9.54696829391612,-8.9869743281198,-8.130490321746285,-8.065147728207164,-7.158604380386619,-5.962634301760793,0.7542029617532561,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
theta.na,-7.475017664876907,-6.986771111255149,-6.257549381748832,-6.270702426610229,-5.576886861251865,-5.12567557871999,0.370114118300882,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[10],-2.116104740809998,-1.579491181215399,-0.7141224716669488,-0.7192982500684749,0.14132480222636523,0.7082099326130454,0.5448564608803641,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[11],-1.7931142960530313,-1.2204070233559978,-0.25065218946635887,-0.196057638137506,0.9058874035256776,1.643858181123131,0.8146318111492984,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[12],-1.4580930525674334,-0.973296545698921,-0.1689662828532344,-0.1244683807326578,0.7942427841333166,1.4392602802608263,0.5644011951001431,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[13],-0.6700353872168905,-0.4362081341990441,-0.1017606284254012,-0.10229368048374857,0.23074595649453805,0.4785453005096615,0.08487366455443204,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[14],-0.9784414726524924,-0.4032289972260344,0.4558826936874439,0.45802707743660026,1.3260813278506751,1.907397461706755,0.5495534583206877,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[1],-1.8685224625916237,-1.6568501587301725,-1.2770226421126822,-1.2660580624225364,-0.8769856986996314,-0.5738747591616612,0.11154712308768172,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[2],-2.000558829491922,-1.790081605048263,-1.35783264513629,-1.321102717066124,-0.8331280305977136,-0.4923629747831565,0.16752621731625503,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[3],-0.509838193149699,-0.2000796046003523,0.2680392619925644,0.25174423423015874,0.6848674812105672,1.0016775528088584,0.1469364255563314,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[4],-1.3985027437864892,-1.0521063772017685,-0.28412897488304234,-0.22909973672493608,0.4847707958633304,1.4998430218580034,0.491033807989896,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[5],-2.366954615852366,-2.0900147581561774,-1.5315902796184822,-1.4306084178255063,-0.7214540196045104,-0.02168021469879701,0.3638330645968514,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[6],-3.429886428947415,-2.9876814064514163,-2.1995822013764625,-2.192143230017943,-1.4247540293423673,-0.35874731384166236,0.5463983165341234,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[7],-0.42539623677262106,-0.1404363904635844,0.31003497078962816,0.2960166973449976,0.6994717535435143,0.9522388347442732,0.12722768998264414,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[8],-2.0891734395672845,-1.747388501714514,-1.160102072462626,-1.1885817218024886,-0.7213821721248629,-0.437393420090905,0.1808855949159948,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
beta[9],-2.2240782798430363,-1.6278660470165542,-0.5269268534628663,-0.5334828427835003,0.5400955993731805,1.1519416488476166,0.8120299913130884,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
phi.a.mu,4.613753652941076,5.131332484400715,5.889895307167379,5.916716383739349,6.721151435845971,7.312194845928362,0.4746517072890374,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
phi.l.mu,3.5174916145176196,3.5604653941057665,3.6220331477215297,3.621737561286188,3.681563633108491,3.7249554775556737,0.00275586666249177,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
phi.n.mu,3.6934355613153302,3.730397738051323,3.783440269099688,3.784232005599112,3.8388977002420286,3.8787538011264777,0.00225371000713319,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
sig[1],28.68148384656356,36.62430463470974,51.442020953115815,53.53458666265875,71.31723825284614,89.48731568127894,258.10719982990037,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-04-14,Mice,Weather
