"siteID","date","ndvi_mean","ndvi_median","ndvi_sd","evi_mean","evi_median","evi_sd","n_pixels"
"GREN","2019-02-18",0.1208,0.1208,0,0.0841,0.0841,0,1
"GREN","2019-03-06",0.4139,0.4139,0,0.1682,0.1682,0,1
"GREN","2019-03-22",0.4318,0.4318,0,0.2064,0.2064,0,1
"GREN","2019-04-07",0.4325,0.4325,0,0.2099,0.2099,0,1
"GREN","2019-04-23",0.6349,0.6349,0,0.4005,0.4005,0,1
"GREN","2019-05-09",0.8867,0.8867,0,0.5612,0.5612,0,1
"GREN","2019-05-25",0.9042,0.9042,0,0.7276,0.7276,0,1
"GREN","2019-06-10",0.8972,0.8972,0,0.7432,0.7432,0,1
"GREN","2019-06-26",0.9303,0.9303,0,0.6277,0.6277,0,1
"GREN","2019-07-12",0.8953,0.8953,0,0.6416,0.6416,0,1
"GREN","2019-07-28",0.9068,0.9068,0,0.6344,0.6344,0,1
"GREN","2019-08-13",0.9007,0.9007,0,0.5433,0.5433,0,1
"GREN","2019-08-29",0.8782,0.8782,0,0.5499,0.5499,0,1
"GREN","2019-09-14",0.8444,0.8444,0,0.4527,0.4527,0,1
"GREN","2019-09-30",0.7822,0.7822,0,0.4312,0.4312,0,1
"GREN","2019-10-16",0.6365,0.6365,0,0.306,0.306,0,1
"GREN","2019-11-01",0.5015,0.5015,0,0.219,0.219,0,1
"GREN","2019-11-17",0.4909,0.4909,0,0.1824,0.1824,0,1
"GREN","2019-12-03",0.0817,0.0817,0,0.0562,0.0562,0,1
"GREN","2019-12-19",0.4907,0.4907,0,0.1558,0.1558,0,1
"GREN","2020-01-01",0.5045,0.5045,0,0.1969,0.1969,0,1
"GREN","2020-01-17",0.4723,0.4723,0,0.1742,0.1742,0,1
"GREN","2020-02-02",0.4512,0.4512,0,0.1808,0.1808,0,1
"GREN","2020-02-18",0.4495,0.4495,0,0.189,0.189,0,1
"GREN","2020-03-05",0.4528,0.4528,0,0.1754,0.1754,0,1
"GREN","2020-03-21",0.4339,0.4339,0,0.2077,0.2077,0,1
"GREN","2020-04-06",0.4384,0.4384,0,0.2094,0.2094,0,1
"GREN","2020-04-22",0.4614,0.4614,0,0.2129,0.2129,0,1
"GREN","2020-05-08",0.7379,0.7379,0,0.5014,0.5014,0,1
"GREN","2020-05-24",0.9117,0.9117,0,0.6126,0.6126,0,1
"GREN","2020-06-09",0.912,0.912,0,0.6392,0.6392,0,1
"GREN","2020-06-25",0.9198,0.9198,0,0.6487,0.6487,0,1
"GREN","2020-07-11",0.9132,0.9132,0,0.6185,0.6185,0,1
"GREN","2020-07-27",0.9055,0.9055,0,0.6709,0.6709,0,1
"GREN","2020-08-12",0.9135,0.9135,0,0.6212,0.6212,0,1
"GREN","2020-08-28",0.8988,0.8988,0,0.5456,0.5456,0,1
"GREN","2020-09-13",0.8405,0.8405,0,0.5793,0.5793,0,1
"GREN","2020-09-29",0.8318,0.8318,0,0.4765,0.4765,0,1
"GREN","2020-10-15",0.6812,0.6812,0,0.4463,0.4463,0,1
"GREN","2020-10-31",0.5748,0.5748,0,0.2769,0.2769,0,1
"GREN","2020-11-16",0.3847,0.3847,0,0.1158,0.1158,0,1
"GREN","2020-12-02",0.5108,0.5108,0,0.2016,0.2016,0,1
