siteID,decimalLongitude,decimalLatitude
BLAN,-77.9700416116868,39.090102563365875
CLBJ,-97.60255160092477,33.38200632182188
DELA,-87.81063848237194,32.531817703705705
GREN,-73.76630409935505,41.79356377471752
HARV,-72.23927700902556,42.43084823321232
HNRY,-73.72294301462419,41.80350438861987
KONA,-96.61755120489381,39.16658834694519
KONZ,-96.5639677610208,39.10038336132089
LENO,-88.18675498486971,31.81380477165695
MLBS,-80.5270021553568,37.388772032180036
OAES,-99.07121299123833,35.40912986650173
ORNL,-84.27970633422343,35.95688149148005
OSBS,-81.97721636311938,29.69075122880952
SCBI,-78.15327143860513,38.887730618569485
SERC,-76.54761996708193,38.882086759060705
STEI,-90.08519797538501,45.81920868904634
TALL,-87.42869771761339,32.930863901575634
TEA,-73.72966314618355,41.79473313089783
TREE,-89.56227116261829,45.49116709102774
UKFS,-95.20030550410557,39.04640180417749
UNDE,-89.52955638292912,46.2411368769474
