plotID,decimalLatitude,decimalLongitude
GREN_001,41.7942375000954,-73.768835750923
GREN_002,41.7928899937595,-73.7637725010098
HNRY_001,41.8039494976512,-73.7209910011494
HNRY_002,41.8030592465441,-73.7248950009777
TEA_001,41.7938562482047,-73.7311462509716
TEA_002,41.7956099945153,-73.7281800008139
OSBS_077,29.678312,-82.015674
OSBS_001,29.704063,-82.008061
OSBS_048,29.678818,-81.947792
UNDE_017,46.236736,-89.497054
UNDE_022,46.231585,-89.568039
BLAN_008,39.083875,-77.966321
BLAN_069,39.097729,-77.980864
BLAN_020,39.101651,-77.981855
BLAN_015,39.088729,-77.955492
BLAN_012,39.082719,-77.95959
BLAN_005,39.086224,-77.972736
SCBI_014,38.86574,-78.16312
SCBI_013,38.873041,-78.163313
SCBI_008,38.887797,-78.148905
SCBI_007,38.886022,-78.129368
SCBI_006,38.897079,-78.150277
SCBI_002,38.893863,-78.1427
SERC_002,38.896257,-76.55818
SERC_001,38.868184,-76.535301
SERC_006,38.880025,-76.548383
SERC_012,38.880016,-76.561641
SERC_005,38.894058,-76.546297
SERC_023,38.873978,-76.535923
ORNL_008,35.933531,-84.334026
ORNL_002,35.983081,-84.211655
ORNL_040,35.975522,-84.305103
ORNL_009,35.974904,-84.226626
ORNL_007,35.925842,-84.328415
ORNL_003,35.967016,-84.229854
MLBS_009,37.374328,-80.516562
MLBS_005,37.363063,-80.519781
MLBS_003,37.367225,-80.526897
MLBS_006,37.427239,-80.562618
KONZ_025,39.103714,-96.597835
KONZ_002,39.118977,-96.547145
DELA_001,32.533277,-87.805314
DELA_004,32.531064,-87.813121
DELA_008,32.538882,-87.814144
UKFS_001,39.037238,-95.19863
UKFS_030,39.045116,-95.213433
UKFS_002,39.045893,-95.207026
UKFS_003,39.053769,-95.187084
UKFS_004,39.043188,-95.201
UKFS_018,39.053205,-95.194658
KONZ_007,39.087937,-96.545918
KONZ_001,39.074113,-96.557106
KONZ_009,39.107902,-96.584437
TALL_001,32.976366,-87.432192
TALL_002,32.920826,-87.42896
TALL_008,32.922873,-87.434098
TALL_016,32.971554,-87.415844
OSBS_002,29.703656,-81.958372
DELA_011,32.519052,-87.817592
TALL_003,32.894409,-87.416533
OSBS_004,29.683403,-81.960448
TREE_017,45.493375,-89.57573
TREE_005,45.482307,-89.557298
TREE_022,45.494512,-89.551239
TREE_007,45.4964,-89.559227
TREE_019,45.494782,-89.575818
TREE_015,45.485624,-89.554317
STEI_001,45.81299,-90.091127
STEI_002,45.796166,-90.091454
STEI_005,45.825114,-90.085879
UNDE_011,46.213935,-89.50595
STEI_003,45.824082,-90.071061
STEI_023,45.824017,-90.096171
STEI_029,45.832881,-90.07549
KONA_021,39.125028,-96.643572
KONZ_004,39.109647,-96.551369
OAES_008,35.394019,-99.063159
OAES_007,35.421328,-99.05721
OAES_021,35.413211,-99.074301
DELA_005,32.524379,-87.813852
DELA_014,32.530629,-87.819372
HARV_002,42.477231,-72.259454
HARV_006,42.401928,-72.2527
HARV_001,42.424217,-72.260096
HARV_022,42.435458,-72.199287
HARV_026,42.412057,-72.246527
HARV_004,42.426877,-72.227953
CLBJ_032,33.405175,-97.595128
LENO_015,31.8173,-88.19149
LENO_002,31.806282,-88.195217
MLBS_004,37.429068,-80.510287
MLBS_002,37.371702,-80.525882
LENO_003,31.809574,-88.18756
BLAN_004,39.088416,-77.961331
OAES_004,35.411159,-99.084234
CLBJ_043,33.410406,-97.593713
CLBJ_036,33.396494,-97.580918
CLBJ_034,33.32009,-97.578537
LENO_004,31.822384,-88.181964
OAES_005,35.402926,-99.080346
UNDE_013,46.227786,-89.535179
UNDE_019,46.257429,-89.542053
TALL_006,32.899153,-87.444554
UNDE_002,46.242285,-89.543255
OSBS_063,29.688556,-81.970004
OAES_003,35.412134,-99.068027
OSBS_005,29.697923,-82.025623
SCBI_005,38.901865,-78.161944
SCBI_039,38.896433,-78.166542
OSBS_003,29.693693,-81.94701
OSBS_022,29.688309,-81.961968
CLBJ_033,33.382288,-97.619783
LENO_023,31.80946,-88.181413
HARV_020,42.438157,-72.228923
UNDE_999,46.256241,-89.534199
KONA_002,39.114235,-96.638612
KONA_003,39.214274,-96.600435
KONA_004,39.125575,-96.637356
LENO_042,31.817828,-88.182885
DELA_001,32.533268,-87.805432
BLAN_002,39.091474,-77.982149
DELA_016,32.53685,-87.806995
UNDE_003,46.257317,-89.534895
CLBJ_040,33.377571,-97.647237
DELA_007,32.538957,-87.799922
ORNL_006,35.938201,-84.322185
KONA_019,39.211742,-96.590109
KONA_024,39.208663,-96.595138
UNDE_062,46.2469,-89.505394
