node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
beta[10],-1.9950444522427624,-1.469346259144587,-0.5929094265424035,-0.5682830993917967,0.3567283759608441,0.9534281565209958,0.5929061907279805,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[11],-1.7401197963684634,-1.0753880160848686,0.03450096253275339,0.04042935510694705,1.1494196794683291,1.93000986239448,0.8967309049836099,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[12],-1.1871650598525567,-0.792325135392337,-0.05340863316589233,0.05231434645478146,1.0036550825902126,1.782959207604862,0.6209468281335084,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[13],-0.456157143951637,-0.16574259414709341,0.21964254864580612,0.21527941754591415,0.6029973258088861,0.831222940436698,0.11056404683436588,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[14],-0.9320302124303196,-0.3786559851524137,0.5161536422186014,0.5160330199434314,1.3940348130198454,2.0225186963234103,0.5794220496732106,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[1],-1.6947052730630632,-1.2057242906335996,-0.8634427926311052,-0.8518379219878743,-0.4774828753098963,-0.2156777890942178,0.11579679635819362,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[2],-1.7328934228525934,-1.163733125479604,0.49525841663203574,0.23042715181684975,0.9348619437326458,1.291525617779138,0.6775361077110598,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[3],-1.1380711806810129,-0.7741481734922944,-0.15305999902438688,-0.1537398199077177,0.4419247597682232,1.0212682740929062,0.2869562107614394,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[4],0.5766375366426175,1.135233244738583,2.314722860686116,2.2703901647487705,3.2525427491556136,3.7203453791812415,0.7239663368854123,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[5],-1.7533094140675614,-1.515908823193849,-1.115411119655462,-1.07943782910151,-0.656258827658151,-0.02683207229992214,0.16991732651128175,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[6],-2.3255749259253453,-1.968011121120434,0.9542307999176044,0.04850676200826604,1.5056320023174954,1.659759984454869,2.2611996029988775,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
beta[7],-0.7971883979235124,-0.5067306844917834,-0.05354968316881287,-0.063416663735316,0.336496867342351,0.6918755855719443,0.13645813963421335,SCBI,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-29,Mice,Weather
