node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
beta[10],-2.004794335800566,-1.4218343778083504,-0.5552318844685729,-0.5716371747289237,0.27180467876645703,0.78723641662851,0.5253248487350622,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[11],-1.4484617052882336,-0.7594288851537832,0.35237437239162084,0.36516424572249384,1.4756921216869705,2.286926726144799,0.9263848514677466,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[12],-1.1689343803339314,-0.7513813714908454,-0.02860290586208724,0.06952280462201936,0.9833262814809184,1.7180326976014966,0.5675528590709615,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[13],-0.6353492822823874,-0.38204432226335405,-0.0333542388841714,-0.03414211891466461,0.31067679582236457,0.5691114764165357,0.09299090962349256,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[14],-0.9966771323378726,-0.4671816790976622,0.3714386050043732,0.395626598832492,1.2871893745999854,1.8806849497569724,0.55608312289665085,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[1],-1.3730458260809555,-1.1173692842623484,-0.704713002576101,-0.7084909058996012,-0.31237492082913965,-0.06491920569983323,0.11400156502616551,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[2],-1.5502887582278009,-1.1206657376727538,-0.2717634099545154,-0.30053919870509804,0.4819446396532672,0.8597204809388613,0.432366312226746,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[3],-1.1733258491315754,-0.7832439253710358,-0.14081384245703105,-0.13759125715738915,0.5122059543572409,0.9132286230118832,0.29838969506298824,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[4],-1.044001511241638,-0.7198175445570781,1.3429498677481826,1.0047512680057646,2.5680094315094215,2.949608663486065,1.7640285739797237,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[5],-0.7407221144113855,-0.4981689768163184,-0.10498598829004116,-0.12886117658716112,0.1915193247576254,0.44454276611576826,0.09531140385471752,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
beta[6],-2.3915761061999916,-2.146209122682837,-1.770127974648216,-1.7500901623498817,-1.3501445487585373,-1.0271149527089225,0.12489795418860604,LENO,Amblyomma americanum,TRUE,WithWeatherAndMiceGlobal,2016-05-31,Mice,Weather
