"siteID","date","ndvi_mean","ndvi_median","ndvi_sd","ndvi_n_pixels","evi_mean","evi_median","evi_sd","evi_n_pixels"
"BLAN","2015-12-19",0.510270588235294,0.5125,0.0546233554066606,17,0.230523529411765,0.2076,0.0593471306110473,17
"BLAN","2016-01-01",0.509429411764706,0.4838,0.0673443090088714,17,0.208870588235294,0.1918,0.0738046303146514,17
"BLAN","2016-01-17",0.452770588235294,0.4463,0.0342146672624819,17,0.216076470588235,0.207,0.0398482203086249,17
"BLAN","2016-02-02",0.186411764705882,0.3105,0.18007505685947,17,0.104652941176471,0.187,0.100614313827898,17
"BLAN","2016-02-18",0.371864705882353,0.3624,0.0385575372199858,17,0.198870588235294,0.2058,0.0358178336291065,17
"BLAN","2016-03-05",0.404823529411765,0.3946,0.0316964021895973,17,0.185476470588235,0.1795,0.035112044397396,17
"BLAN","2016-03-21",0.524841176470588,0.5256,0.0380080099917032,17,0.273394117647059,0.2723,0.0423210862128478,17
"BLAN","2016-04-06",0.609129411764706,0.6273,0.048634706803705,17,0.306376470588235,0.3204,0.0393741750613864,17
"BLAN","2016-04-22",0.776764705882353,0.7795,0.0322762091403341,17,0.517258823529412,0.5161,0.0391558274530039,17
"BLAN","2016-05-08",0.806405882352941,0.7996,0.0531078321741275,17,0.589417647058823,0.5768,0.0671091390506364,17
"BLAN","2016-05-24",0.815158823529412,0.8164,0.0530324789495024,17,0.599141176470588,0.5941,0.0647992096674752,17
"BLAN","2016-06-09",0.830876470588235,0.8545,0.0720999352410577,17,0.513541176470588,0.5127,0.0554230216023036,17
"BLAN","2016-06-25",0.791,0.791,0.0247173774903407,17,0.612476470588235,0.6172,0.0299304094820754,17
"BLAN","2016-07-11",0.844547058823529,0.8479,0.0478311629281457,17,0.569429411764706,0.5527,0.0536682723392728,17
"BLAN","2016-07-27",0.844558823529412,0.8531,0.0558875104431161,17,0.4958,0.4872,0.0615119398978767,17
"BLAN","2016-08-12",0.873488235294118,0.8737,0.0392167674973496,17,0.538952941176471,0.5276,0.0658338355031729,17
"BLAN","2016-08-28",0.834823529411765,0.8326,0.0314867934500277,17,0.571170588235294,0.5826,0.0504734802236021,17
"BLAN","2016-09-13",0.806347058823529,0.8131,0.034758562212192,17,0.528605882352941,0.5324,0.0266147391164237,17
"BLAN","2016-09-29",0.765170588235294,0.7809,0.0591705560721069,17,0.428317647058824,0.4323,0.0323872512590625,17
"BLAN","2016-10-15",0.738929411764706,0.739,0.0371372919836968,17,0.381529411764706,0.3885,0.0345502128196391,17
"BLAN","2016-10-31",0.619876470588235,0.625,0.0299188178537305,17,0.298470588235294,0.2892,0.0383843028578396,17
"BLAN","2016-11-16",0.533041176470588,0.533,0.037961099477352,17,0.270752941176471,0.2519,0.0416505419779722,17
"BLAN","2016-12-02",0.464705882352941,0.4641,0.0369997207859099,17,0.254935294117647,0.2393,0.0396909930144181,17
"BLAN","2016-12-18",0.447552941176471,0.4443,0.0298983301717474,17,0.1863,0.1792,0.0359047002494102,17
