uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"84e92fa3-f472-421e-85ae-fa0698dedb55","OAES_005.tickPlot.tck","OAES_005","2022-07-12T11:35Z","2023-02-22T17:00Z","OAES_005.20220712","OAES_005.20220712.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Female",1,"OK","95% ethanol","USNMENT1786475",,"L. Beati","Georgia Southern University",
"55abe0a9-bdf5-43b8-80cb-941ec2cbc917","OAES_021.tickPlot.tck","OAES_021","2022-07-12T13:40Z","2023-02-22T17:00Z","OAES_021.20220712","OAES_021.20220712.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",213,"OK","95% ethanol","USNMENT1786478",,"L. Beati","Georgia Southern University",
"18d303d8-fa83-4ac8-891d-0ee4bf6badbe","OAES_008.tickPlot.tck","OAES_008","2022-07-12T17:05Z","2023-02-22T17:00Z","OAES_008.20220712","OAES_008.20220712.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1786479",,"L. Beati","Georgia Southern University",
